"","�.س�.�..�.�.�.ع�.ي.�.�.","X","X.1","X.2","X.3","X.4","X.5","X.6"
"1","الموازنة 2020","كانون ثاني - آذار","آذار","شباط","كانون ثاني","",NA,""
"2","الموازنة","","","","","",NA,""
"3","","3366.7","902.1","1201.1","1263.5","اجمالي صافي الایرادات  )أساس الالتزام(",NA,""
"4","","3390.4","1006.2","1159.7","1224.5","اجمالي صافي الایرادات  )أساس النقدي(",NA,""
"5","","1347.7","243.5","506.5","597.7","اجمالي الایرادات المحلیة",NA,""
"6","","861.4","146.0","339.3","376.2","الایرادات الضریبیة",NA,""
"7","","335.9","86.6","137.0","112.3","الایرادات غیر الضریبیة",NA,""
"8","","150.4","10.9","30.2","109.2","تحصیلات مخصصة  (1)",NA,""
"9","","2164.3","717.7","746.1","700.5","اجمالي ایرادات المقاصة )أساس الالتزام(",NA,""
"10","","2157.1","794.4","704.2","658.6","اجمالي ایرادات المقاصة )أساس النقدي(",NA,""
"11","","7.2","-76.6","41.9","41.9","(2)تعدیلات ایرادات المقاصة",NA,""
"12","","145.3","59.1","51.5","34.7","الارجاعات الضریبیة )أساس الالتزام(",NA,""
"13","","114.4","31.6","51.0","31.8","الارجاعات الضریبیة )الاساس النقدي(",NA,""
"14","","30.9","27.5","0.5","2.9","الارجاعات الضریبیة )متأخرات(",NA,""
"15","","3359.1","1151.3","1198.8","1009.0","اجمالي النفقات و صافي الاقراض )التزام(",NA,""
"16","","2897.8","1028.5","1085.7","783.5","اجمالي النفقات و صافي الاقراض  )نقدي(",NA,""
"17","","461.3","122.7","113.1","225.5","اجمالي النفقات و صافي الاقراض  )متأخرات(",NA,""
"18","","155.1","51.7","49.5","53.8","الرواتب و الأجور ) متأخرات(",NA,""
"19","","124.3","34.4","34.6","55.2","مساھمات اجتماعیة )متأخرات( ) الحكومة (",NA,""
"20","","54.4","27.3","26.9","0.2","السلع و الخدمات ) متأخرات(",NA,""
"21","","25.0","15.0","8.8","1.3","تحویلیة ) متأخرات(",NA,""
"22","","0.6","0.3","0.2","0.0","رأسمالیة صغرى ) متأخرات(",NA,""
"23","","4.8","-0.9","0.0","5.8","فائدة ) متأخرات(",NA,""
"24","","4.8","-1.0","0.0","5.8","محلي ) متأخرات (",NA,""
"25","","0.0","0.0","0.0","0.0","خارجي ) متأخرات(",NA,""
"26","","0.0","0.0","0.0","0.0","صافي الاقراض ) متأخرات (3)(",NA,""
"27","","97.2","-5.1","-6.9","109.2","دفعات مخصصة ) متأخرات (1)(",NA,""
"28","","7.6","-249.2","2.3","254.4","الرصید الحالي ) التزام(",NA,""
"29","","492.6","-22.3","74.0","440.9","الرصید الحالي ) نقدي(",NA,""
"30","","148.0","76.4","65.3","6.3","النفقات التطویریة ) أساس الالتزام(",NA,""
"31","","75.4","45.8","23.3","6.2","النفقات التطویریة ) أساس النقدي(",NA,""
"32","","72.6","30.5","42.0","0.0","النفقات التطویریة ) متأخرات(",NA,""
"33","","-140.4","-325.5","-63.0","248.1","الرصید )أساس الالتزام(",NA,""
"34","","417.2","-68.1","50.6","434.7","الرصید )الأساس النقدي(",NA,""
"35","","-417.2","68.1","-50.6","-434.7","مصادر التمویل",NA,""
"36","","246.5","108.1","138.4","0.0","الدعم الخارجي للموازنة",NA,""
"37","","32.1","17.6","12.3","2.1","التمویل التطویري",NA,""
"38","","-459.2","38.7","-108.6","-389.2","صافي التمویل من البنوك المحلیة  (4)",NA,""
"39","","-239.5","-94.0","-98.5","-46.9","متأخرات السلع والخدمات والتطویري  (5)",NA,""
"40","","2.9","-2.2","5.7","-0.7","الرصید المتبقي",NA,""
"41","","","","","كانون أول 2019","",NA,"ملاحظات"
"42","","","","","","متأخرات السنوات السابقة",NA,""
"43","","","4277.0","4371.1","4469.6 4516.5","مجموع المتبقي من المتأخرات",NA,""
"44","","","","","2106.2","القطاع الخاص",NA,""
"45","","","","","2410.4","",NA,"أخرى"
"46","","","","","","",NA,""
"47","","","94.0","98.5","46.9","متأخرات السنوات السابقة التي تم دفعھا",NA,""
"48","","","61.3","84.3","31.9","القطاع الخاص",NA,""
"49","","","19.7","10.0","15.0","اذونات الدفع الحكومیة (6)",NA,""
"50","","","13.0","4.2","0.0","أخرى",NA,""
"51","","","","","","متأخرات السنة الحالیة",NA,""
"52","","","180.8","155.6","228.4","مجموع المتأخرات لكل شھر في عام 2020",NA,""
"53","","","85.73","69.54","3.13","القطاع الخاص",NA,""
"54","","","95.05","86.03","225.31","",NA,"أخرى"
"55","","","564.8","384.0","228.4","المجموع التراكمي للمتأخرات 2020",NA,""
"56","","","158.4","72.7","3.1","القطاع الخاص",NA,""
"57","","","406.4","311.3","225.3","أخرى",NA,""
"58","","","4841.8","4755.1","4698.0","صافي المتأخرات التراكمي 2020",NA,""
"59","","","","","","سعر الدولار، الموازنة",NA,""
"60","","3.49","3.55","3.45","3.46","سعر الدولار، فعلي )معدل شھري(",NA,""
"61","","","","","* تبلغ إیرادات المقاصة المحتجزة من قبل الجانب الإسرائیلي 666.183.644.33 شیكل بحلول نھایة ینایر .2020","",NA,""
"62","* ایرادات المقاصة: تم تعدیل اجراء التسجیل المحاسبي لتسجیل المقاصة ، لیصبح تسجیل جلسة المقاصة في نفس الشھر الذي یتم استلام قیمة النقد. حیث كان سابقا ًیتم التسجیل في شھر و یتم تحصیل المبلغ في شھر آخر.","","","","","",NA,""
"63","","التحصیلات والمدفوعات المخصصة ھي ضرائب وإیرادات مستحقة لھیئات الحكم المحلیة %90، من ضریبة الاملاك وحوالي %50 من ضرائب النقل والمواصلات.","","","","",NA,"(1)"
"64","","","","","","محجوزة +)( أو تمویل من سنوات سابقة أو/ و تحویل مقدما(-)",NA,"(2)"
"65","","","","","بناءا على التعمیم الصادر من وزارة المالیة، تم اجراء تقاص لتخفیض مدیونیة الھیئات المحلیة وشركة الكھرباء.","",NA,"(3)"
