"","�.س�.�..�.�.�.ع�.ي.�.�.","X","X.1","X.2","X.3","X.4","X.5"
"1","","الموازنة 2020","كانون ثاني - آذار","آذار","شباط","كانون ثاني",""
"2","الموازنة","","","","","",""
"3","","","3366.7","902.1","1201.1","1263.5","اجمالي صافي الایرادات  (1)"
"4","","","3030.8","815.5","1064.1","1151.2","أ. صافي الضرائب"
"5","","","861.4","146.0","339.3","376.2","ایرادات الضرائب المحلیة1"
"6","","","309.3","42.3","151.9","115.1","ضریبة الدخل"
"7","","","309.2","51.3","99.2","158.7","ضریبة القیمة المضافة"
"8","","","182.4","37.9","71.0","73.5","الجمارك"
"9","","","1.6","0.4","0.4","0.9","مكوس المشروبات"
"10","","","48.3","13.8","16.1","18.4","مكوس السجائر"
"11","","","10.6","0.3","0.6","9.7","ضریبة الأملاك"
"12","","","2164.3","717.7","746.1","700.5","ایرادات المقاصة  *2"
"13","","","945.8","300.6","330.9","314.3","الجمارك"
"14","","","539.7","183.4","187.6","168.6","ضریبة القیمة المضافة"
"15","","","-0.6","1.6","-3.9","1.8","ضریبة الشراء"
"16","","","652.4","205.1","231.5","215.8","ضریبة المحروقات"
"17","","","27.0","27.0","-","-","ضریبة الدخل"
"18","","","-","-","-","-","أخرى"
"19","","","150.4","10.9","30.2","109.2","تحصیلات مخصصة  (3)3"
"20","","","106.1","2.2","16.4","87.4","ضریبة الأملاك"
"21","","","31.4","6.7","12.1","12.5","اتنقل والمواصلات"
"22","","","12.9","1.9","1.7","9.3","أخرى"
"23","","","145.3","59.1","51.5","34.7","الارجاعات الضریبیة (-)4"
"24","","","105.0","25.0","50.0","30.0","وقود"
"25","","","40.3","34.1","1.5","4.7","أخرى  (2)"
"26","","","335.9","86.6","137.0","112.3","ب. الایرادات غیر الضریبیة"
"27","","","294.7","86.5","96.5","111.7","ایرادات الرسوم غیر الضریبیة المحلیة.1"
"28","","","1.5","0.2","0.7","0.5","ضرائب التسجیل المدني"
"29","","","23.2","6.5","7.9","8.8","رسوم خدمات صحیة"
"30","","","67.0","16.0","20.3","30.8","رسوم تأمین صحي"
"31","","","31.4","6.7","12.1","12.5","رسوم المواصلات"
"32","","","1.3","0.3","0.6","0.4","رسوم الحكم المحلي"
"33","","","3.4","0.8","1.3","1.3","رسوم وزارة الاقتصاد"
"34","","","1.1","0.2","0.4","0.5","رسوم المحاكم الشرعیة"
"35","","","19.5","4.6","8.8","6.1","رسوم سلطة الأراضي"
"36","","","1.4","0.0","1.4","0.0","وزارة الاسكان"
"37","","","1.4","0.5","0.5","0.4","رسوم وزارة الزراعة"
"38","","","0.8","0.1","0.3","0.3","رسوم السیاحة"
"39","","","13.5","2.3","5.4","5.9","رسوم البرید والاتصالات"
"40","","","3.0","0.3","1.1","1.6","رسوم التربیة والتعلیم"
"41","","","12.8","2.3","5.2","5.2","رسوم مجلس القضاء الأعلى"
"42","","","0.3","0.1","0.1","0.1","رسوم خارجیة"
"43","","","0.9","0.3","0.3","0.3","رخص مزاولة المھنة"
"44","","","112.2","45.3","30.0","37.0","أخرى"
"45","","","0.0","0.0","0.0","0.0","رسوم تدریب"
"46","","","41.2","0.1","40.6","0.5","عوائد استثماریة.3"
