"","�.س�.�..�.�.�.ع�.ي.�.�.","�.�.�.�.�.ز�.�.","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7"
"1","",NA,"الربع الأول كانون ثاني - أیار","أیار","نیسان","آذار","شباط","كانون ثاني",NA,""
"2","الموازنة",2020,"","","","","","",NA,""
"3","",NA,"4980.9 3366.7","849.0","765.2","902.1","1201.1","1263.5",NA,"اجمالي صافي الایرادات"
"4","",NA,"1679.3 1347.7","204.3","127.3","243.5","506.5","597.7",NA,"اجمالي الایرادات المحلیة"
"5","",NA,"1121.5 861.4","153.3","106.7","146.0","339.3","376.2",NA,"الایرادات الضریبیة"
"6","",NA,"395.1 335.9","39.3","20.0","86.6","137.0","112.3",NA,"الایرادات غیر الضریبیة"
"7","",NA,"162.6 150.4","11.6","0.6","10.9","30.2","109.2",NA,"تحصیلات مخصصة  *(1)"
"8","",NA,"3472.5 2164.3","658.3","649.8","717.7","746.1","700.5",NA,"اجمالي ایرادات المقاصة"
"9","",NA,"170.8 145.3","13.5","12.0","59.1","51.5","34.7",NA,"الارجاعات الضریبیة  (-)"
"10","",NA,"127.0 105.0","10.0","12.0","25.0","50.0","30.0",NA,"الوقود"
"11","",NA,"43.8 40.3","3.5","0.0","34.1","1.5","4.7",NA,"أخرى  (2)"
"12","",NA,"5860.8 3359.1","1207.0","1294.7","1151.3","1198.8","1009.0",NA,"اجمالي النفقات و صافي الاقراض"
"13","",NA,"2803.8 1665.5","568.0","570.3","563.9","568.4","533.2",221,"النفقات و الأجور"
"14","",NA,"275.4 165.3","55.1","55.0","54.9","55.1","55.2",222,"مساھمات اجتماعیة  ) الحكومة("
"15","",NA,"445.2 215.5","140.5","89.2","95.2","94.5","25.8",231,"استخدام السلع والخدمات"
"16","",NA,"1579.0 812.0","307.3","459.7","329.6","321.4","160.9",232,"نفقات تحویلیة"
"17","",NA,"12.4 0.6","4.0","7.8","0.3","0.2","0.0",233,"نفقات رأسمالیة"
"18","",NA,"65.3 25.5","14.1","25.7","1.8","5.6","18.1",NA,"الفائدة"
"19","",NA,"59.1 24.3","11.9","22.9","0.7","5.6","18.1",NA,"محلي"
"20","",NA,"6.2 1.1","2.2","2.8","1.1","0.0","0.0",NA,"خارجي"
"21","",NA,"517.2 324.5","106.3","86.4","94.6","123.2","106.7",NA,"(3)صافي الاقراض"
"22","",NA,"162.6 150.4","11.6","0.6","10.9","30.2","109.2",NA,"مدفوعات مخصصة (1)"
"23","",NA,"107.1 106.1","0.9","0.1","2.2","16.4","87.4",NA,"ضریبة الاملاك"
"24","",NA,"41.2 31.4","9.6","0.2","6.7","12.1","12.5",NA,"النقل على الطرق"
"25","",NA,"14.4 12.9","1.2","0.3","1.9","1.7","9.3",NA,"أخرى"
"26","",NA,"-880.0 7.6","-358.0","-529.5","-249.2","2.3","254.4",NA,"الرصید الحالي"
"27","",NA,"241.8 148.0","46.9","46.9","76.4","65.3","6.3",NA,"النفقات التطویریة"
"28","",NA,"-1121.8 -140.4","-404.9","-576.4","-325.5","-63.0","248.1",NA,"الرصید"
"29","",NA,"1121.8 140.4","404.9","576.4","325.5","63.0","-248.1",NA,"مصادر التمویل"
"30","",NA,"723.5 246.5","282.7","194.3","108.1","138.4","0.0",NA,"الدعم الخارجي للموازنة"
"31","",NA,"129.7 32.1","43.6","54.1","17.6","12.3","2.1",NA,"التمویل التطویري"
"32","",NA,"-836.3 -459.2","-87.6","-289.6","38.7","-108.6","-389.2",NA,"صافي التمویل من البنوك المحلیة (4)"
"33","",NA,"1632.1 533.9","929.0","169.2","153.3","155.1","225.5",NA,"متأخرات النفقات ) الصافي التراكمي  (5)("
"34","",NA,"165.3 7.2","658.3","-500.2","-76.6","41.9","41.9",NA,"(6)تعدیل ایرادات المقاصة"
"35","",NA,"34.4 30.9","3.5","0.0","27.5","0.5","2.9",NA,"الارجاعات الضریبیة ) متأخرات("
"36","",NA,"-391.8 -239.5","-101.9","-50.5","-94.0","-98.5","-46.9",NA,"متأخرات السلع والخدمات والتطویري  (7)"
"37","",NA,"-4.4 2.9","-6.2","-1.2","-2.2","5.7","-0.7",NA,"الرصید المتبقي"
"38","",NA,"","","","","","",NA,"سعر الدولار، الموازنة"
"39","",NA,"3.49 3.48","3.51","3.54","3.54","3.44","3.46",NA,"سعر الدولار، فعلي )معدل شھري("
