"","�.س�.�..�.�.�.ع�.ي.�.�.","�.�.�.�.�.ز�.�.","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
"1","",NA,"كانون ثاني - أیار","الربع الأول","أیار","نیسان","آذار","شباط","كانون ثاني","",""
"2","الموازنة",2020,"","","","","","","","",""
"3","",NA,"4850.0","3390.4","194.3","1265.3","1006.2","1159.7","1224.5","","اجمالي صافي الایرادات"
"4","",NA,"1679.3","1347.7","204.3","127.3","243.5","506.5","597.7","","اجمالي الایرادات المحلیة"
"5","",NA,"1121.5","861.4","153.3","106.7","146.0","339.3","376.2","","الضریبیة"
"6","",NA,"395.1","335.9","39.3","20.0","86.6","137.0","112.3","","غیر الضریبیة"
"7","",NA,"162.6","150.4","11.6","0.6","10.9","30.2","109.2","","تحصیلات مخصصة (1)"
"8","",NA,"3307.1","2157.1","0.0","1150.0","794.4","704.2","658.6","","ایرادات المقاصة"
"9","",NA,"136.4","114.4","10.0","12.0","31.6","51.0","31.8","","(-)الارجاعات الضریبیة"
"10","",NA,"127.0","105.0","10.0","12.0","25.0","50.0","30.0","","وقود"
"11","",NA,"9.4","9.4","0.0","0.0","6.6","1.0","1.8","","أخرى"
"12","",NA,"4327.2","2897.8","287.4","1142.0","1028.5","1085.7","783.5","","اجمالي النفقات و صافي الاقراض"
"13","",NA,"2075.9","1510.4","48.8","516.7","512.2","518.9","479.3","","الرواتب والأجور"
"14","",NA,"70.0","41.0","8.5","20.5","20.5","20.5","0.0","","مساھمات اجتماعیة  ) الحكومة("
"15","",NA,"265.3","161.1","43.8","60.4","67.8","67.7","25.6","","استخدام السلع و الخدمات"
"16","",NA,"1387.2","786.9","149.6","450.6","314.7","312.6","159.7","","تحویلیة"
"17","",NA,"3.6","0.0","3.5","0.1","0.0","0.0","0.0","","رأسمالیة صغرى"
"18","",NA,"48.1","20.6","20.8","6.7","2.7","5.6","12.3","","فائدة"
"19","",NA,"34.2","19.5","8.0","6.7","1.6","5.6","12.3","","محلي"
"20","",NA,"13.9","1.1","12.8","0.0","1.1","0.0","0.0","","خارجي"
"21","",NA,"409.6","324.5","-1.3","86.4","94.6","123.2","106.7","","صافي الاقراض (2)"
"22","",NA,"67.4","53.2","13.7","0.6","16.0","37.2","0.0","","دفعات مخصصة (1)"
"23","",NA,"35.6","34.3","1.3","0.0","11.6","22.7","0.0","","ضریبة الأملاك"
"24","",NA,"20.4","8.6","11.2","0.6","2.4","6.2","0.0","","رسوم المواصلات"
"25","",NA,"11.5","10.3","1.2","0.0","2.0","8.2","0.0","","أخرى"
"26","",NA,"522.8","492.6","-93.2","123.4","-22.3","74.0","440.9","","الرصید الحالي"
"27","",NA,"143.3","75.4","37.5","30.4","45.8","23.3","6.2","","النفقات التطویریة"
"28","",NA,"379.5","417.2","-130.7","92.9","-68.1","50.6","434.7","","الرصید"
"29","",NA,"-379.5","-417.2","130.7","-92.9","68.1","-50.6","-434.7","","مصادر التمویل"
"30","",NA,"723.5","246.5","282.7","194.3","108.1","138.4","0.0","","الدعم الخارجي للموازنة"
"31","",NA,"129.7","32.1","43.6","54.1","17.6","12.3","2.1","","التمویل التطویري"
"32","",NA,"-836.3","-459.2","-87.6","-289.6","38.7","-108.6","-389.2","(3)","صافي التمویل من البنوك المحلیة"
"33","",NA,"-391.8","-239.5","-101.9","-50.5","-94.0","-98.5","-46.9","متأخرات السلع والخدمات والتطویري  (4)",""
"34","",NA,"-4.4","2.9","-6.2","-1.2","-2.2","5.7","-0.7","","الرصید المتبقي"
"35","",NA,"","","","","","","","","سعر الدولار، الموازنة"
"36","",NA,"3.5","3.5","3.5","3.5","3.5","3.4","3.5","","سعر الدولار، فعلي )معدل شھري("
