"","X","Total","Wages.and","Social","Use.of.goods","X.1","Interest","X.2","Transfer","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services",NA,"payments",NA,"Expenditure","Expenditure","Expenditure"
"2","5. Environmental protection","1,237","890","101","8",NA,"0",NA,"0","0","237"
"3","Environmental Quality Authority","1,237","890","101","8",NA,"‐",NA,"‐","‐","237"
"4","6. Housing and community amenities","22,748","7,840","603","339",NA,"0",NA,"0","51","13,916"
"5","Ministry of Public Works and Housing","9,695","3,083","302","53",NA,"‐",NA,"‐","51","6,207"
"6","Land Authority","1,698","1,538","140","20",NA,"‐",NA,"‐","‐","‐"
"7","Palestinian Water Authority","9,274","1,293","115","219",NA,"‐",NA,"‐","‐","7,647"
"8","Form of Land & Water  intercession","2,081","1,926","47","47",NA,"‐",NA,"‐","‐","62"
"9","7. Health","142,966","55,330","5,090","74,645",NA,"0",NA,"0","3,236","4,664"
"10","Ministry of Health","142,966","55,330","5,090","74,645",NA,"‐",NA,"‐","3,236","4,664"
"11","8. Recreation, culture, and religion","25,512","18,911","1,911","2,547",NA,"0",NA,"0","7","2,135"
"12","Higher Council For Youth And Sports","2,770","2,280","215","274",NA,"‐",NA,"‐","‐","‐"
"13","Ministry of Culture","1,355","911","102","150",NA,"‐",NA,"‐","‐","192"
"14","Ministry of Information","576","462","48","66",NA,"‐",NA,"‐","‐","‐"
"15","Palestinian Broadcasting Corporation","6,947","4,653","448","1,846",NA,"‐",NA,"‐","1","‐"
"16","The Palestinian News Agency ‐ WAFA","1,144","977","112","49",NA,"‐",NA,"‐","6","‐"
"17","Al‐Hayat Al‐Jadida Press","2,486","371","24","148",NA,"‐",NA,"‐","‐","1,944"
"18","The Ministry of Awqaf and Religious Affairs","9,789","8,855","934","‐",NA,"‐",NA,"‐","‐","‐"
"19","Dar Al Fatwa and Islamic Research","445","402","28","14",NA,"‐",NA,"‐","‐","‐"
"20","9. Education","224,980","183,841","18,312","9,756",NA,"0",NA,"1,579","0","11,491"
"21","Ministry of Education","216,247","177,527","17,673","9,697",NA,"‐",NA,"‐","‐","11,350"
"22","Ministry of Higher Education and Scientific Research","8,733","6,314","639","59",NA,"‐",NA,"1,579","‐","141"
"23","10. Social protection","258,086","4,740","480","424",NA,"0",NA,"251,830","0","612"
"24","Ministry of Social Affairs","72,668","4,073","447","253",NA,"‐",NA,"67,387","‐","509"
"25","Ministry of Women's Affairs","636","328","33","171",NA,"‐",NA,"‐","‐","104"
"26","Retirees Pension Allowances","184,783","339","‐","‐",NA,"‐",NA,"184,444","‐","‐"
"27","Totals","1,135,996","568,005","55,073","140,536",NA,"14,105",NA,"307,328","4,043","46,905"
