"","X","Total","Wages.and","Social","Use.of.goods","Interest","Transfer","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments","Expenditure","Expenditure","Expenditure"
"2","1. General public services","784,619","243,746","16,855","114,372","65,300","295,417","829","48,101"
"3","President's Office","45,665","35,103","3,601","6,526","‐","‐","112","323"
"4","P.L.O. Institutions","343,386","50,881","2,308","44,870","‐","243,147","1","2,179"
"5","Legislative Council","5,577","4,299","475","342","‐","462","‐","‐"
"6","Ministers' Council","6,679","2,690","191","1,821","‐","‐","68","1,909"
"7","General Secretariat for the council of ministers","5,384","4,253","451","678","‐","‐","1","‐"
"8","Office of the Deputy Prime Minister","223","128","3","93","‐","‐","‐","‐"
"9","State Audit & Administrative Control Bureau","4,853","3,824","433","597","‐","‐","‐","‐"
"10","Ministry of Local Government","36,938","9,236","907","1,024","‐","5,134","‐","20,637"
"11","Ministry of Finance & Planning","55,637","29,982","2,677","4,331","‐","15,392","4","3,251"
"12","Ministry of Foreign Affairs","26,855","24,105","1,719","748","‐","‐","22","261"
"13","Embassies","73,987","37,519","‐","31,633","‐","4,504","332","‐"
"14","Negotiations Affairs Department","739","546","55","138","‐","‐","‐","‐"
"15","General Personnel Office","27,643","23,865","2,773","1,005","‐","‐","‐","‐"
"16","Palestinian Central Bureau of Statistics","12,355","5,299","593","2,254","‐","‐","‐","4,208"
"17","Ministry of Jerusalem Affairs","11,908","4,082","73","102","‐","7,632","‐","19"
"18","General Authority for crossings and borders","33,753","6,519","454","12,539","‐","‐","289","13,952"
"19","Non Governmental Organization","9,374","1,415","142","193","‐","7,624","‐","‐"
"20","Central Election Committee","6,716","‐","‐","5,353","‐","‐","‐","1,363"
"21","General Expenditures","4,489","‐","‐","‐","‐","4,489","‐","‐"
"22","Public Debt Interest Payments","65,300","‐","‐","‐","65,300","‐","‐","‐"
"23","Financial Reserves","7,032","‐","‐","‐","‐","7,032","‐","‐"
"24","Leadership and mastery","125","‐","‐","125","‐","‐","‐","‐"
"25","2. Defense","‐","‐","‐","‐","‐","‐","‐","‐"
"26","3. Public order and safety","1,336,031","1,097,548","116,767","79,316","0","0","369","42,031"
"27","Ministry of Interior and National Security","1,258,454","1,035,868","110,294","71,584","‐","‐","311","40,398"
"28","Ministry of Justice","23,152","19,053","2,107","1,703","‐","‐","2","288"
"29","Supreme Judicial Council","40,733","31,531","3,432","5,016","‐","‐","57","697"
"30","The Higher Judicial Council","10,664","8,992","857","794","‐","‐","‐","22"
"31","The Supreme Constitutional Court","2,103","1,865","57","182","‐","‐","‐","‐"
"32","Supreme Council for Public Procurement Policies","925","240","21","38","‐","‐","‐","625"
"33","4. Economic affairs","129,745","96,630","9,254","9,379","0","0","38","14,444"
"34","Ministry of National Economy","17,829","15,123","1,731","975","‐","‐","‐","‐"
"35","Specifications and Standards Office","4,062","3,111","306","416","‐","‐","‐","230"
"36","Ministry of Agriculture","42,234","29,928","2,624","2,351","‐","‐","‐","7,331"
"37","Ministry of Energy and Natural Resources","5,899","1,537","134","265","‐","‐","‐","3,963"
"38","Ministry of Transportation","16,833","14,099","1,391","1,344","‐","‐","‐","‐"
"39","Ministry of Communications and Information Technology","13,447","10,885","971","1,332","‐","‐","‐","259"
"40","Ministry of Tourism and Antiquities","10,340","6,283","540","1,113","‐","‐","29","2,375"
"41","Ministry of Labor","16,296","13,493","1,306","1,347","‐","‐","‐","149"
"42","General Authority for Investment Promotion","999","767","88","135","‐","‐","9","‐"
"43","Industrial Zones Board","1,806","1,405","164","102","‐","‐","‐","136"
