"","X","Total","Wages.and","Social","Use.of.goods","Interest","X.1","Transfer","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments",NA,"Expenditure","Expenditure","Expenditure"
"2","5. Environmental protection","5,942","4,390","505","339","0",NA,"0","0","708"
"3","Environmental Quality Authority","5,942","4,390","505","339","‐",NA,"‐","‐","708"
"4","6. Housing and community amenities","96,150","37,489","3,015","6,338","0",NA,"0","62","49,246"
"5","Ministry of Public Works and Housing","35,746","15,019","1,508","1,161","‐",NA,"‐","51","18,007"
"6","Land Authority","9,162","7,652","698","667","‐",NA,"‐","11","133"
"7","Palestinian Water Authority","40,775","6,593","575","4,220","‐",NA,"‐","‐","29,386"
"8","Form of Land & Water  intercession","10,467","8,224","233","290","‐",NA,"‐","0","1,719"
"9","7. Health","495,571","280,373","25,451","168,529","0",NA,"0","10,942","10,276"
"10","Ministry of Health","495,571","280,373","25,451","168,529","‐",NA,"‐","10,942","10,276"
"11","8. Recreation, culture, and religion","125,945","94,972","9,557","14,694","0",NA,"0","138","6,585"
"12","Higher Council For Youth And Sports","14,725","10,947","1,077","2,701","‐",NA,"‐","‐","‐"
"13","Ministry of Culture","6,515","4,608","510","763","‐",NA,"‐","‐","635"
"14","Ministry of Information","2,922","2,390","242","290","‐",NA,"‐","‐","‐"
"15","Palestinian Broadcasting Corporation","34,308","24,032","2,238","7,978","‐",NA,"‐","59","‐"
"16","The Palestinian News Agency ‐ WAFA","5,962","4,878","560","518","‐",NA,"‐","6","‐"
"17","Al‐Hayat Al‐Jadida Press","8,727","1,782","120","875","‐",NA,"‐","‐","5,951"
"18","The Ministry of Awqaf and Religious Affairs","50,515","44,451","4,669","1,322","‐",NA,"‐","72","‐"
"19","Dar Al Fatwa and Islamic Research","2,272","1,883","141","248","‐",NA,"‐","‐","‐"
"20","9. Education","1,141,629","925,942","91,562","49,311","0",NA,"5,979","0","68,836"
"21","Ministry of Education","1,095,545","894,181","88,365","47,502","‐",NA,"‐","‐","65,497"
"22","Ministry of Higher Education and Scientific Research","46,084","31,761","3,197","1,809","‐",NA,"5,979","‐","3,339"
"23","10. Social protection","1,307,181","22,718","2,400","2,926","0",NA,"1,277,560","0","1,578"
"24","Ministry of Social Affairs","475,715","20,603","2,233","1,932","‐",NA,"449,580","‐","1,367"
"25","Ministry of Women's Affairs","3,075","1,705","166","993","‐",NA,"‐","‐","211"
"26","Retirees Pension Allowances","828,391","411","‐","‐","‐",NA,"827,980","‐","‐"
"27","Totals","5,422,813","2,803,806","275,366","445,204","65,300",NA,"1,578,955","12,378","241,804"
