"","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","Budget","Actual.as"
"1","","Jan","Feb","Mar","Apr","May","Q1","Jan‐May",NA,""
"2","","","","","","","","",2020,"% of Budget"
"3","Total Net Revenues (1)","1263.5","1201.1","902.1","765.2","849.0","3366.7","4980.9",NA,""
"4","A.  Net Tax Revenues","1151.2","1064.1","815.5","745.2","809.7","3030.8","4585.7",NA,""
"5","1.  Domestic Tax Revenues","376.2","339.3","146.0","106.7","153.3","861.4","1121.5",NA,""
"6","Income Tax","115.1","151.9","42.3","27.9","24.2","309.3","361.4",NA,""
"7","Value Added Tax","158.7","99.2","51.3","42.6","83.8","309.2","435.6",NA,""
"8","Customs","73.5","71.0","37.9","8.3","28.3","182.4","218.9",NA,""
"9","Excises on Beverages","0.9","0.4","0.4","0.4","0.4","1.6","2.4",NA,""
"10","Excises on Tobacco","18.4","16.1","13.8","27.6","16.5","48.3","92.5",NA,""
"11","Property Tax","9.7","0.6","0.3","0.0","0.1","10.6","10.7",NA,""
"12","2.  Clearance Revenue *","700.5","746.1","717.7","649.8","658.3","2164.3","3472.5",NA,""
"13","Customs","314.3","330.9","300.6","280.4","346.0","945.8","1572.2",NA,""
"14","Value Added Tax","168.6","187.6","183.4","166.7","144.0","539.7","850.4",NA,""
"15","Purchase Tax","1.8","‐3.9","1.6","1.1","0.3","‐0.6","0.9",NA,""
"16","Petroleum Excise","215.8","231.5","205.1","201.6","168.0","652.4","1022.1",NA,""
"17","Income Tax","‐","‐","27.0","‐","‐","27.01","27.0",NA,""
"18","Other","‐","‐","‐","‐","‐","‐","‐",NA,""
"19","3. Earmarked Collections (3)","109.2","30.2","10.9","0.6","11.6","150.4","162.6",NA,""
"20","Property Tax","87.4","16.4","2.2","0.1","0.9","106.1","107.1",NA,""
"21","Transportation","12.5","12.1","6.7","0.2","9.6","31.4","41.2",NA,""
"22","other","9.3","1.7","1.9","0.3","1.2","12.9","14.4",NA,""
"23","4.  Tax Refunds (‐)","34.7","51.5","59.1","12.0","13.5","145.3","170.8",NA,""
"24","Fuel","30.0","50.0","25.0","12.0","10.0","105.0","127.0",NA,""
"25","Other (2)","4.7","1.5","34.1","0.0","3.5","40.3","43.8",NA,""
"26","B.  Nontax Revenues","112.3","137.0","86.6","20.0","39.3","335.9","395.1",NA,""
"27","1.  Domestic Fees and Charges","111.7","96.5","86.5","20.0","39.0","294.7","353.6",NA,""
"28","Civil Registration Fees","0.5","0.7","0.2","0.0","0.1","1.5","1.5",NA,""
"29","Health Fees","8.8","7.9","6.5","4.1","4.3","23.2","31.7",NA,""
"30","Health Insurance","30.8","20.3","16.0","13.7","6.2","67.0","86.9",NA,""
"31","Transportation","12.5","12.1","6.7","0.2","9.5","31.4","41.2",NA,""
"32","Local Government","0.4","0.6","0.3","0.0","0.2","1.3","1.5",NA,""
"33","Ministry of Economy","1.3","1.3","0.8","0.1","0.4","3.4","4.0",NA,""
"34","Shari'a Courts Fees","0.5","0.4","0.2","0.0","0.2","1.1","1.4",NA,""
"35","Land Registration","6.1","8.8","4.6","0.3","3.2","19.5","22.9",NA,""
"36","Ministry of Housing","0.0","1.4","0.0","0.0","0.0","1.4","1.4",NA,""
"37","Agriculture Services","0.4","0.5","0.5","0.4","0.4","1.4","2.3",NA,""
"38","Tourist Fees","0.3","0.3","0.1","0.0","0.0","0.8","0.8",NA,""
"39","Telecommunication Fees","5.9","5.4","2.3","0.0","0.5","13.5","14.1",NA,""
"40","Ministry of Education","1.6","1.1","0.3","0.1","0.1","3.0","3.1",NA,""
"41","High Court of Justice Fees","5.2","5.2","2.3","0.2","1.5","12.8","14.5",NA,""
"42","Foreign Affairs","0.1","0.1","0.1","0.0","0.0","0.3","0.4",NA,""
"43","Licenses","0.3","0.3","0.3","0.1","0.2","0.9","1.2",NA,""
"44","Others","37.0","30.0","45.3","0.7","12.1","112.2","125.0",NA,""
"45","Training fees","0.0","0.0","0.0","0.0","0.0","0.0","0.0",NA,""
"46","2.  Investments Profits","0.5","40.6","0.1","0.0","0.3","41.2","41.5",NA,""
