"","X","X.1","Wages.and","Social","Use.of.goods","Interest","Transfer","Minor.Capital","Development"
"1","","Total Expenditure","","","","","","",""
"2","","","salaries","contributions","and services","payments","Expenditure","Expenditure","Expenditure"
"3","Governance Sector","","","","","","","",""
"4","President's Office","9,230","7 ,010","720","1,468","‐","‐","29","3"
"5","P.L.O. Institutions","69,210","11,871","462","11,608","‐","4 4,899","‐","3 71"
"6","Legislative Council","1,054","867","9 5","‐","‐","9 2","‐","‐"
"7","Ministers' Council","836","496","3 8","2 08","‐","‐","62","32"
"8","General Secretariat for the council of ministers","1,065","833","9 0","1 41","‐","‐","‐","‐"
"9","Office of the Deputy Prime Minister","47","20","1","2 6","‐","‐","‐","‐"
"10","State Audit & Administrative Control Bureau","911","770","8 7","5 5","‐","‐","‐","‐"
"11","General Personnel Office","5,324","4 ,759","555","1 0","‐","‐","‐","‐"
"12","Ministry of Finance & Planning","7,718","5 ,936","535","5 16","‐","422","2","3 07"
"13","Ministry of Jerusalem Affairs","2,342","801","1 5","2 5","‐","1,482","‐","19"
"14","Non Governmental Organization","3,065","277","2 8","2 8","‐","2,732","‐","‐"
"15","Retirees Pension Allowances","184,783","339","‐","‐","‐","1 84,444","‐","‐"
"16","Public Debt Interest Payments","14,105","‐","‐","‐","1 4,105","‐","‐","‐"
"17","General Expenditures","1,740","‐","‐","‐","‐","1,740","‐","‐"
"18","Financial Reserves","154","‐","‐","‐","‐","154","‐","‐"
"19","General Authority for crossings and borders","5,751","1 ,084","9 1","3,484","‐","‐","246","8 46"
"20","Negotiations Affairs Department","139","110","1 1","1 7","‐","‐","‐","‐"
"21","Embassies","19,033","9 ,441","‐","8,125","‐","1,135","332","‐"
"22","Central Election Committee","1,534","‐","‐","9 17","‐","‐","‐","6 17"
"23","Ministry of Interior and National Security","263,813","211,431","2 2,059","23,953","‐","‐","12","6 ,359"
"24","Ministry of Justice","4,635","3 ,920","421","1 92","‐","‐","‐","1 02"
"25","Supreme Judicial Council","7,612","6 ,429","686","4 39","‐","‐","57","‐"
"26","Ministry of Foreign Affairs","5,224","4 ,770","344","1 10","‐","‐","‐","‐"
"27","The Higher Judicial Council","1,966","1 ,774","171","2 1","‐","‐","‐","‐"
"28","Supreme Council for Public Procurement Policies","109","48","4","‐","‐","‐","‐","57"
"29","The Supreme Constitutional Court","407","362","1 1","3 4","‐","‐","‐","‐"
"30","Total","611,809","273,350","2 6,424","51,377","1 4,105","2 37,101","740","8,711"
"31","Infrastructure Sector","","","","","","","",""
"32","Palestinian Water Authority","9,274","1 ,293","115","2 19","‐","‐","‐","7 ,647"
"33","Ministry of Energy and Natural Resources","1,244","330","2 7","2 3","‐","‐","‐","8 63"
"34","Ministry of Transportation","3,298","2 ,808","278","2 11","‐","‐","‐","‐"
"35","Ministry of Communications and Information Technol","2,870","2 ,151","194","2 65","‐","‐","‐","2 59"
"36","Ministry of Public Works and Housing","9,695","3 ,083","302","5 3","‐","‐","51","6 ,207"
"37","Ministry of Local Government","5,990","1 ,822","181","1 19","‐","1,260","‐","2 ,607"
"38","Environmental Quality Authority","1,237","890","101","8","‐","‐","‐","2 37"
"39","Total","3 3,606","12,379","1,198","8 98","‐","1,260","51","17,821"
"40","Economic Affairs","","","","","","","",""
"41","Palestinian Central Bureau of Statistics","2,273","1 ,059","119","3 29","‐","‐","‐","7 67"
"42","Ministry of Tourism and Antiquities","1,495","1 ,248","108","1 33","‐","‐","‐","6"
"43","Land Authority","1,698","1 ,538","140","2 0","‐","‐","‐","‐"
"44","Ministry of National Economy","3,364","3 ,000","346","1 7","‐","‐","‐","‐"
"45","Industrial Zones Board","454","281","3 3","5","‐","‐","‐","1 36"
"46","Specifications and Standards Office","956","618","6 1","4 7","‐","‐","‐","2 30"
"47","General Authority for Investment Promotion","216","155","1 8","3 4","‐","‐","9","‐"
"48","Ministry of Agriculture","8,263","7 ,270","525","1 99","‐","‐","‐","2 69"
"49","Form of Land & Water  intercession","2,081","1 ,926","4 7","4 7","‐","‐","‐","62"
"50","Total","2 0,800","17,094","1,395","8 31","‐","‐","9","1,469"
