"","Social.Affairs","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7"
"1","Ministry of Education","216,247","177,527","1 7,673","9,697","‐","‐","‐","11,350"
"2","Ministry of Higher Education and Scientific Research","8,733","6 ,314","639","5 9","‐","1,579","‐","1 41"
"3","Ministry of Health","142,966","55,330","5,090","74,645","‐","‐","3 ,236","4 ,664"
"4","Ministry of Women's Affairs","636","328","3 3","1 71","‐","‐","‐","1 04"
"5","Ministry of Social Affairs","72,668","4 ,073","447","2 53","‐","6 7,387","‐","5 09"
"6","Ministry of Information","576","462","4 8","6 6","‐","‐","‐","‐"
"7","Palestinian Broadcasting Corporation","6,947","4 ,653","448","1,846","‐","‐","1","‐"
"8","The Palestinian News Agency ‐ WAFA","1,144","977","112","4 9","‐","‐","6","‐"
"9","Al‐Hayat Al‐Jadida Press","2,486","371","2 4","1 48","‐","‐","‐","1 ,944"
"10","Higher Council For Youth And Sports","2,770","2 ,280","215","2 74","‐","‐","‐","‐"
"11","Ministry of Culture","1,355","911","102","1 50","‐","‐","‐","1 92"
"12","Dar Al Fatwa and Islamic Research","445","402","2 8","1 4","‐","‐","‐","‐"
"13","The Ministry of Awqaf and Religious Affairs","9,789","8 ,855","934","‐","‐","‐","‐","‐"
"14","Ministry of Labor","2,995","2 ,699","261","3 4","‐","‐","‐","‐"
"15","Leadership and mastery","25","‐","‐","2 5","‐","‐","‐","‐"
"16","Total","469,780","265,182","2 6,055","87,431","‐","6 8,966","3 ,243","18,904"
"17","Grand Total","1,135,996","568,005","5 5,073","1 40,536","1 4,105","3 07,328","4 ,043","46,905"
