"","X","X.1","X.2","X.3","Use.of.goods","Interest","X.4","X.5","Minor.Capital","X.6","Development"
"1","","Total Expenditure","Wages and salaries","Social contributions","","",NA,"Transfer Expenditure","",NA,""
"2","","","","","and services","payments",NA,"","Expenditure",NA,"Expenditure"
"3","Governance Sector","","","","","",NA,"","",NA,""
"4","President's Office","45,665","3 5,103","3 ,601","6 ,526","‐",NA,"‐","112",NA,"323"
"5","P.L.O. Institutions","343,386","5 0,881","2 ,308","4 4,870","‐",NA,"243,147","1",NA,"2 ,179"
"6","Legislative Council","5,577","4 ,299","475","342","‐",NA,"462","‐",NA,"‐"
"7","Ministers' Council","6,679","2 ,690","191","1 ,821","‐",NA,"‐","68",NA,"1 ,909"
"8","General Secretariat for the council of ministers","5,384","4 ,253","451","678","‐",NA,"‐","1",NA,"‐"
"9","Office of the Deputy Prime Minister","223","128","3","93","‐",NA,"‐","‐",NA,"‐"
"10","State Audit & Administrative Control Bureau","4,853","3 ,824","433","597","‐",NA,"‐","‐",NA,"‐"
"11","General Personnel Office","27,643","2 3,865","2 ,773","1 ,005","‐",NA,"‐","‐",NA,"‐"
"12","Ministry of Finance & Planning","55,637","2 9,982","2 ,677","4 ,331","‐",NA,"1 5,392","4",NA,"3 ,251"
"13","Ministry of Jerusalem Affairs","11,908","4 ,082","73","102","‐",NA,"7 ,632","‐",NA,"19"
"14","Non Governmental Organization","9,374","1 ,415","142","193","‐",NA,"7 ,624","‐",NA,"‐"
"15","Retirees Pension Allowances","828,391","411","‐","‐","‐",NA,"827,980","‐",NA,"‐"
"16","Public Debt Interest Payments","65,300","‐","‐","‐","6 5,300",NA,"‐","‐",NA,"‐"
"17","General Expenditures","4,489","‐","‐","‐","‐",NA,"4 ,489","‐",NA,"‐"
"18","Financial Reserves","7,032","‐","‐","‐","‐",NA,"7 ,032","‐",NA,"‐"
"19","General Authority for crossings and borders","33,753","6 ,519","454","1 2,539","‐",NA,"‐","289",NA,"1 3,952"
"20","Negotiations Affairs Department","739","546","55","138","‐",NA,"‐","‐",NA,"‐"
"21","Embassies","73,987","3 7,519","‐","3 1,633","‐",NA,"4 ,504","332",NA,"‐"
"22","Central Election Committee","6,716","‐","‐","5 ,353","‐",NA,"‐","‐",NA,"1 ,363"
"23","Ministry of Interior and National Security","1,258,454","1,035,868","110,294","7 1,584","‐",NA,"‐","311",NA,"4 0,398"
"24","Ministry of Justice","23,152","1 9,053","2 ,107","1 ,703","‐",NA,"‐","2",NA,"288"
"25","Supreme Judicial Council","40,733","3 1,531","3 ,432","5 ,016","‐",NA,"‐","57",NA,"697"
"26","Ministry of Foreign Affairs","26,855","2 4,105","1 ,719","748","‐",NA,"‐","22",NA,"261"
"27","The Higher Judicial Council","10,664","8 ,992","857","794","‐",NA,"‐","‐",NA,"22"
"28","Supreme Council for Public Procurement Policies","925","240","21","38","‐",NA,"‐","‐",NA,"625"
"29","The Supreme Constitutional Court","2,103","1 ,865","57","182","‐",NA,"‐","‐",NA,"‐"
"30","Total","2 ,899,624","1 ,327,169","132,122","190,285","65,300",NA,"1 ,118,263","1 ,198",NA,"65,286"
"31","Infrastructure Sector","","","","","",NA,"","",NA,""
"32","Palestinian Water Authority","40,775","6 ,593","575","4 ,220","‐",NA,"‐","‐",NA,"2 9,386"
"33","Ministry of Energy and Natural Resources","5,899","1 ,537","134","265","‐",NA,"‐","‐",NA,"3 ,963"
"34","Ministry of Transportation","16,833","1 4,099","1 ,391","1 ,344","‐",NA,"‐","‐",NA,"‐"
"35","Ministry of Communications and Information Technol","13,447","1 0,885","971","1 ,332","‐",NA,"‐","‐",NA,"259"
"36","Ministry of Public Works and Housing","35,746","1 5,019","1 ,508","1 ,161","‐",NA,"‐","51",NA,"1 8,007"
"37","Ministry of Local Government","36,938","9 ,236","907","1 ,024","‐",NA,"5 ,134","‐",NA,"2 0,637"
"38","Environmental Quality Authority","5,942","4 ,390","505","339","‐",NA,"‐","‐",NA,"708"
"39","Total","155,581","61,758","5 ,992","9 ,685","‐",NA,"5 ,134","51",NA,"72,961"
"40","Economic Affairs","","","","","",NA,"","",NA,""
"41","Palestinian Central Bureau of Statistics","12,355","5 ,299","593","2 ,254","‐",NA,"‐","‐",NA,"4 ,208"
"42","Ministry of Tourism and Antiquities","10,340","6 ,283","540","1 ,113","‐",NA,"‐","29",NA,"2 ,375"
"43","Land Authority","9,162","7 ,652","698","667","‐",NA,"‐","11",NA,"133"
"44","Ministry of National Economy","17,829","1 5,123","1 ,731","975","‐",NA,"‐","‐",NA,"‐"
"45","Industrial Zones Board","1,806","1 ,405","164","102","‐",NA,"‐","‐",NA,"136"
"46","Specifications and Standards Office","4,062","3 ,111","306","416","‐",NA,"‐","‐",NA,"230"
"47","General Authority for Investment Promotion","999","767","88","135","‐",NA,"‐","9",NA,"‐"
"48","Ministry of Agriculture","42,234","2 9,928","2 ,624","2 ,351","‐",NA,"‐","‐",NA,"7 ,331"
"49","Form of Land & Water  intercession","10,467","8 ,224","233","290","‐",NA,"‐","0",NA,"1 ,719"
"50","Total","109,253","77,793","6 ,977","8 ,302","‐",NA,"‐","50",NA,"16,132"
