"","�.س�.�..�.�.�.ع�.ي.�.�.","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
"1","","الموازنة 2020","كانون ثاني - أیار","الربع الأول","أیار","نیسان","آذار","شباط","كانون ثاني",""
"2","الموازنة","","","","","","","","",""
"3","","","4980.9","3366.7","849.0","765.2","902.1","1201.1","1263.5","اجمالي صافي الایرادات  (1)"
"4","","","4585.7","3030.8","809.7","745.2","815.5","1064.1","1151.2","أ. صافي الضرائب"
"5","","","1121.5","861.4","153.3","106.7","146.0","339.3","376.2","ایرادات الضرائب المحلیة1"
"6","","","361.4","309.3","24.2","27.9","42.3","151.9","115.1","ضریبة الدخل"
"7","","","435.6","309.2","83.8","42.6","51.3","99.2","158.7","ضریبة القیمة المضافة"
"8","","","218.9","182.4","28.3","8.3","37.9","71.0","73.5","الجمارك"
"9","","","2.4","1.6","0.4","0.4","0.4","0.4","0.9","مكوس المشروبات"
"10","","","92.5","48.3","16.5","27.6","13.8","16.1","18.4","مكوس السجائر"
"11","","","10.7","10.6","0.1","0.0","0.3","0.6","9.7","ضریبة الأملاك"
"12","","","3472.5","2164.3","658.3","649.8","717.7","746.1","700.5","ایرادات المقاصة  *2"
"13","","","1572.2","945.8","346.0","280.4","300.6","330.9","314.3","الجمارك"
"14","","","850.4","539.7","144.0","166.7","183.4","187.6","168.6","ضریبة القیمة المضافة"
"15","","","0.9","-0.6","0.3","1.1","1.6","-3.9","1.8","ضریبة الشراء"
"16","","","1022.1","652.4","168.0","201.6","205.1","231.5","215.8","ضریبة المحروقات"
"17","","","27.0","27.01","-","-","27.0","-","-","ضریبة الدخل"
"18","","","-","-","-","-","-","-","-","أخرى"
"19","","","162.6","150.4","11.6","0.6","10.9","30.2","109.2","تحصیلات مخصصة  (3)3"
"20","","","107.1","106.1","0.9","0.1","2.2","16.4","87.4","ضریبة الأملاك"
"21","","","41.2","31.4","9.6","0.2","6.7","12.1","12.5","اتنقل والمواصلات"
"22","","","14.4","12.9","1.2","0.3","1.9","1.7","9.3","أخرى"
"23","","","170.8","145.3","13.5","12.0","59.1","51.5","34.7","الارجاعات الضریبیة (-)4"
"24","","","127.0","105.0","10.0","12.0","25.0","50.0","30.0","وقود"
"25","","","43.8","40.3","3.5","0.0","34.1","1.5","4.7","أخرى  (2)"
"26","","","395.1","335.9","39.3","20.0","86.6","137.0","112.3","ب. الایرادات غیر الضریبیة"
"27","","","353.6","294.7","39.0","20.0","86.5","96.5","111.7","ایرادات الرسوم غیر الضریبیة المحلیة.1"
"28","","","1.5","1.5","0.1","0.0","0.2","0.7","0.5","ضرائب التسجیل المدني"
"29","","","31.7","23.2","4.3","4.1","6.5","7.9","8.8","رسوم خدمات صحیة"
"30","","","86.9","67.0","6.2","13.7","16.0","20.3","30.8","رسوم تأمین صحي"
"31","","","41.2","31.4","9.5","0.2","6.7","12.1","12.5","رسوم المواصلات"
"32","","","1.5","1.3","0.2","0.0","0.3","0.6","0.4","رسوم الحكم المحلي"
"33","","","4.0","3.4","0.4","0.1","0.8","1.3","1.3","رسوم وزارة الاقتصاد"
"34","","","1.4","1.1","0.2","0.0","0.2","0.4","0.5","رسوم المحاكم الشرعیة"
"35","","","22.9","19.5","3.2","0.3","4.6","8.8","6.1","رسوم سلطة الأراضي"
"36","","","1.4","1.4","0.0","0.0","0.0","1.4","0.0","وزارة الاسكان"
"37","","","2.3","1.4","0.4","0.4","0.5","0.5","0.4","رسوم وزارة الزراعة"
"38","","","0.8","0.8","0.0","0.0","0.1","0.3","0.3","رسوم السیاحة"
"39","","","14.1","13.5","0.5","0.0","2.3","5.4","5.9","رسوم البرید والاتصالات"
"40","","","3.1","3.0","0.1","0.1","0.3","1.1","1.6","رسوم التربیة والتعلیم"
"41","","","14.5","12.8","1.5","0.2","2.3","5.2","5.2","رسوم مجلس القضاء الأعلى"
"42","","","0.4","0.3","0.0","0.0","0.1","0.1","0.1","رسوم خارجیة"
"43","","","1.2","0.9","0.2","0.1","0.3","0.3","0.3","رخص مزاولة المھنة"
"44","","","125.0","112.2","12.1","0.7","45.3","30.0","37.0","أخرى"
"45","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","رسوم تدریب"
"46","","","41.5","41.2","0.3","0.0","0.1","40.6","0.5","عوائد استثماریة.3"
