"","X","Total","Wages.and","Social","Use.of.goods","Interest","Transfer","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments","Expenditure","Expenditure","Expenditure"
"2","1. General public services","125,583","51,928","3,371","29,425","15,452","19,169","671","5,568"
"3","President's Office","9,613","7,010","720","1,851","-","-","29","3"
"4","P.L.O. Institutions","34,872","11,871","462","11,926","-","10,243","-","371"
"5","Legislative Council","1,047","867","95","85","-","-","-","-"
"6","Ministers' Council","866","496","38","238","-","-","62","32"
"7","General Secretariat for the council of ministers","1,139","833","90","216","-","-","-","-"
"8","Office of the Deputy Prime Minister","47","20","1","26","-","-","-","-"
"9","State Audit & Administrative Control Bureau","1,003","770","87","146","-","-","-","-"
"10","Ministry of Local Government","6,128","1,822","181","257","-","1,260","-","2,607"
"11","Ministry of Finance & Planning","8,254","5,936","535","1,051","-","422","2","307"
"12","Ministry of Foreign Affairs","5,316","4,770","344","202","-","-","-","-"
"13","Embassies","19,033","9,441","-","8,125","-","1,135","332","-"
"14","Negotiations Affairs Department","143","110","11","22","-","-","-","-"
"15","General Personnel Office","5,527","4,759","555","213","-","-","-","-"
"16","Palestinian Central Bureau of Statistics","2,419","1,059","119","475","-","-","-","767"
"17","Ministry of Jerusalem Affairs","2,352","801","15","36","-","1,482","-","19"
"18","General Authority for crossings and borders","5,825","1,084","91","3,558","-","-","246","846"
"19","Non Governmental Organization","3,093","277","28","56","-","2,732","-","-"
"20","Central Election Committee","1,534","-","-","917","-","-","-","617"
"21","General Expenditures","1,740","-","-","-","-","1,740","-","-"
"22","Public Debt Interest Payments","15,452","-","-","-","15,452","-","-","-"
"23","Financial Reserves","154","-","-","-","-","154","-","-"
"24","Leadership and mastery","25","-","-","25","-","-","-","-"
"25","2. Defense","0","-","-","-","-","-","-","-"
"26","3. Public order and safety","279,544","223,964","23,353","25,640","0","0","69","6,517"
"27","Ministry of Interior and National Security","264,020","211,431","22,059","24,159","-","-","12","6,359"
"28","Ministry of Justice","4,868","3,920","421","425","-","-","-","102"
"29","Supreme Judicial Council","8,039","6,429","686","866","-","-","57","-"
"30","The Higher Judicial Council","2,082","1,774","171","136","-","-","-","-"
"31","The Supreme Constitutional Court","422","362","11","48","-","-","-","-"
"32","Supreme Council for Public Procurement Policies","114","48","4","5","-","-","-","57"
"33","4. Economic affairs","26,327","20,561","1,851","2,143","0","0","9","1,763"
"34","Ministry of National Economy","3,546","3,000","346","199","-","-","-","-"
"35","Specifications and Standards Office","1,020","618","61","111","-","-","-","230"
"36","Ministry of Agriculture","8,596","7,270","525","532","-","-","-","269"
"37","Ministry of Energy and Natural Resources","1,267","330","27","46","-","-","-","863"
