"","X","Total","Wages.and","Social","Use.of.goods","Interest","X.1","Transfer","X.2","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments",NA,"Expenditure",NA,"Expenditure","Expenditure"
"2","Ministry of Transportation","3,504","2,808","278","417","-",NA,"-",NA,"-","-"
"3","Ministry of Communications and Information Technology","2,984","2,151","194","379","-",NA,"-",NA,"-","259"
"4","Ministry of Tourism and Antiquities","1,555","1,248","108","193","-",NA,"-",NA,"-","6"
"5","Ministry of Labor","3,151","2,699","261","191","-",NA,"-",NA,"-","-"
"6","General Authority for Investment Promotion","231","155","18","49","-",NA,"-",NA,"9","-"
"7","Industrial Zones Board","475","281","33","25","-",NA,"-",NA,"-","136"
"8","5. Environmental protection","1,292","890","101","64","0",NA,"0",NA,"0","237"
"9","Environmental Quality Authority","1,292","890","101","64","-",NA,"-",NA,"-","237"
"10","6. Housing and community amenities","23,197","7,840","603","787","0",NA,"0",NA,"51","13,916"
"11","Ministry of Public Works and Housing","9,867","3,083","302","225","-",NA,"-",NA,"51","6,207"
"12","Land Authority","1,816","1,538","140","138","-",NA,"-",NA,"-","-"
"13","Palestinian Water Authority","9,382","1,293","115","327","-",NA,"-",NA,"-","7,647"
"14","Form of Land & Water  intercession","2,132","1,926","47","97","-",NA,"-",NA,"-","62"
"15","7. Health","145,076","55,330","5,090","76,755","0",NA,"0",NA,"3,236","4,664"
"16","Ministry of Health","145,076","55,330","5,090","76,755","-",NA,"-",NA,"3,236","4,664"
"17","8. Recreation, culture, and religion","26,440","18,911","1,911","3,476","0",NA,"0",NA,"7","2,135"
"18","Higher Council For Youth And Sports","2,889","2,280","215","394","-",NA,"-",NA,"-","-"
"19","Ministry of Culture","1,422","911","102","217","-",NA,"-",NA,"-","192"
"20","Ministry of Information","605","462","48","95","-",NA,"-",NA,"-","-"
"21","Palestinian Broadcasting Corporation","7,268","4,653","448","2,167","-",NA,"-",NA,"1","-"
"22","The Palestinian News Agency - WAFA","1,213","977","112","119","-",NA,"-",NA,"6","-"
"23","Al-Hayat Al-Jadida Press","2,504","371","24","165","-",NA,"-",NA,"-","1,944"
"24","The Ministry of Awqaf and Religious Affairs","10,067","8,855","934","278","-",NA,"-",NA,"-","-"
"25","Dar Al Fatwa and Islamic Research","472","402","28","41","-",NA,"-",NA,"-","-"
"26","9. Education","233,661","183,841","18,312","18,437","0",NA,"1,579",NA,"0","11,491"
"27","Ministry of Education","224,542","177,527","17,673","17,992","-",NA,"-",NA,"-","11,350"
"28","Ministry of Higher Education and Scientific Research","9,119","6,314","639","445","-",NA,"1,579",NA,"-","141"
"29","10. Social protection","138,139","4,740","480","723","0",NA,"131,584",NA,"0","612"
"30","Ministry of Social Affairs","27,414","4,073","447","527","-",NA,"21,858",NA,"-","509"
"31","Ministry of Women's Affairs","661","328","33","196","-",NA,"-",NA,"-","104"
"32","Retirees Pension Allowances","110,065","339","-","-","-",NA,"109,726",NA,"-","-"
"33","Total","999,261","568,005","55,073","157,450","15,452",NA,"152,333",NA,"4,043","46,905"
