"","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","Budget","Actual.as"
"1","","","Jan","Feb","Mar","Apr","May","Q1","Jan-May",NA,""
"2","","","","","","","","","",2020,"% of Budget"
"3","Total Net Revenue (Commitment Basis)","","1263.5","1201.1","902.1","765.2","849.0","3366.7","4980.9",NA,""
"4","Total Net Revenue (Cash Basis)","","1224.5","1159.7","1006.2","1265.3","194.3","3390.4","4850.0",NA,""
"5","Gross Domestic Revenue (Commitment Basis)","","597.7","506.5","243.5","127.3","204.3","1347.7","1679.3",NA,""
"6","Tax","","376.2","339.3","146.0","106.7","153.3","861.4","1121.5",NA,""
"7","Nontax","","112.3","137.0","86.6","20.0","39.3","335.9","395.1",NA,""
"8","Earmarked Collections (1)","","109.2","30.2","10.9","0.6","11.6","150.4","162.6",NA,""
"9","Clearance Revenue (Accrued)","","700.5","746.1","717.7","649.8","658.3","2164.3","3472.5",NA,""
"10","Clearance Revenue (Cash Basis)","","658.6","704.2","794.4","1150.0","0.0","2157.1","3307.1",NA,""
"11","Clearance Revenue Withheld  (2)","","41.9","41.9","-76.6","-500.2","658.3","7.2","165.3",NA,""
"12","Tax Refunds (Commitment Basis)","","34.7","51.5","59.1","12.0","13.5","145.3","170.8",NA,""
"13","Tax Refunds (Cash Basis)","","31.8","51.0","31.6","12.0","10.0","114.4","136.4",NA,""
"14","Tax Refund (Arrears)","","2.9","0.5","27.5","0.0","3.5","30.9","34.4",NA,""
"15","Total Expenditure & Net lending (Commitment Basis)","","1009.0","1198.8","1151.3","1294.7","1070.3","3359.1","5724.1",NA,""
"16","Total Expenditure & Net lending (Cash Basis)","","783.5","1085.7","1028.5","1142.0","287.4","2897.8","4327.2",NA,""
"17","Total Expenditure & Net lending (Arrears)","","225.5","113.1","122.7","152.7","782.9","461.3","1396.9",NA,""
"18","Wages and salaries (arrears)","","53.8","49.5","51.7","53.6","519.2","155.1","727.9",NA,""
"19","Gov. Social contributions (arrears)","","55.2","34.6","34.4","34.5","46.6","124.3","205.4",NA,""
"20","Use of goods and services (arrears)","","0.2","26.9","27.3","28.8","113.6","54.4","196.8",NA,""
"21","Transfers (arrears)","","1.3","8.8","15.0","9.1","2.7","25.0","36.8",NA,""
"22","Minor capital (arrears)","","0.0","0.2","0.3","7.7","0.5","0.6","8.8",NA,""
"23","Interest (arrears)","","5.8","0.0","-0.9","19.0","-5.3","4.8","18.5",NA,""
"24","Domestic (arrears)","","5.8","0.0","-1.0","16.2","5.3","4.8","26.3",NA,""
"25","External (arrears)","","0.0","0.0","0.0","2.8","-10.6","0.0","-7.7",NA,""
"26","Net lending (arrears) (3)","","0.0","0.0","0.0","0.0","107.6","0.0","107.6",NA,""
"27","Earmarked Payments (Arrears) (1)","","109.2","-6.9","-5.1","0.1","-2.1","97.2","95.2",NA,""
