"","X","X.1","X.2","X.3","Use.of.goods","X.4","X.5","X.6","X.7"
"1","","Total","Wages and","Social","","Interest","Transfer","Minor Capital","Development"
"2","","","","","","","","",""
"3","","Expenditure","salaries","contributions","","payments","Expenditure","Expenditure","Expenditure"
"4","","","","","and services","","","",""
"5","Governance Sector","","","","","","","",""
"6","President's Office","9,613","7 ,010","720","1,851","-","-","29","3"
"7","P.L.O. Institutions","34,872","1 1,871","462","11,926","-","10,243","-","371"
"8","Legislative Council","1,047","8 67","95","85","-","-","-","-"
"9","Ministers' Council","866","4 96","38","238","-","-","62","3 2"
"10","General Secretariat for the council of ministers","1,139","8 33","90","216","-","-","-","-"
"11","Office of the Deputy Prime Minister","47","20","1","26","-","-","-","-"
"12","State Audit & Administrative Control Bureau","1,003","7 70","87","146","-","-","-","-"
"13","General Personnel Office","5,527","4 ,759","555","213","-","-","-","-"
"14","Ministry of Finance & Planning","8,254","5 ,936","535","1,051","-","422","2","307"
"15","Ministry of Jerusalem Affairs","2,352","8 01","15","36","-","1,482","-","1 9"
"16","Non Governmental Organization","3,093","2 77","28","56","-","2,732","-","-"
"17","Retirees Pension Allowances","110,065","3 39","-","-","-","1 09,726","-","-"
"18","Public Debt Interest Payments","15,452","-","-","-","15,452","-","-","-"
"19","General Expenditures","1,740","-","-","-","-","1,740","-","-"
"20","Financial Reserves","154","-","-","-","-","154","-","-"
"21","General Authority for crossings and borders","5,825","1 ,084","91","3,558","-","-","246","846"
"22","Negotiations Affairs Department","143","1 10","11","22","-","-","-","-"
"23","Embassies","19,033","9 ,441","-","8,125","-","1,135","332","-"
"24","Central Election Committee","1,534","-","-","917","-","-","-","617"
"25","Ministry of Interior and National Security","264,020","2 11,431","22,059","24,159","-","-","12","6,359"
"26","Ministry of Justice","4,868","3 ,920","421","425","-","-","-","102"
"27","Supreme Judicial Council","8,039","6 ,429","686","866","-","-","57","-"
"28","Ministry of Foreign Affairs","5,316","4 ,770","344","202","-","-","-","-"
"29","The Higher Judicial Council","2,082","1 ,774","171","136","-","-","-","-"
"30","Supreme Council for Public Procurement Policies","114","48","4","5","-","-","-","5 7"
"31","The Supreme Constitutional Court","422","3 62","11","48","-","-","-","-"
"32","Total","506,620","2 73,350","26,424","54,308","15,452","1 27,635","740","8,711"
"33","Infrastructure Sector","","","","","","","",""
"34","Palestinian Water Authority","9,382","1 ,293","115","327","-","-","-","7,647"
"35","Ministry of Energy and Natural Resources","1,267","3 30","27","46","-","-","-","863"
"36","Ministry of Transportation","3,504","2 ,808","278","417","-","-","-","-"
"37","Ministry of Communications and Information Technology","2,984","2 ,151","194","379","-","-","-","259"
"38","Ministry of Public Works and Housing","9,867","3 ,083","302","225","-","-","51","6,207"
"39","Ministry of Local Government","6,128","1 ,822","181","257","-","1,260","-","2,607"
"40","Environmental Quality Authority","1,292","8 90","101","64","-","-","-","237"
"41","Total","34,424","1 2,379","1,198","1,715","-","1,260","51","17,821"
"42","Economic Affairs","","","","","","","",""
"43","Palestinian Central Bureau of Statistics","2,419","1 ,059","119","475","-","-","-","767"
