"","Ministry.of.Tourism.and.Antiquities","X1.555","X1..248","X108","X193","X.","X..1","X..2","X","X.1","X6"
"1","Land Authority","1,816","1 ,538","140","138","-","-","-",NA,"-",""
"2","Ministry of National Economy","3,546","3 ,000","346","199","-","-","-",NA,"-",""
"3","Industrial Zones Board","475","2 81","33","25","-","-","-",NA,"136",""
"4","Specifications and Standards Office","1,020","6 18","61","111","-","-","-",NA,"230",""
"5","General Authority for Investment Promotion","231","1 55","18","49","-","-","9",NA,"-",""
"6","Ministry of Agriculture","8,596","7 ,270","525","532","-","-","-",NA,"269",""
"7","Form of Land & Water  intercession","2,132","1 ,926","47","97","-","-","-",NA,"","6 2"
"8","Total","21,790","1 7,094","1,395","1,821","-","-","9",NA,"1,469",""
"9","Social Affairs","","","","","","","",NA,"",""
"10","Ministry of Education","224,542","1 77,527","17,673","17,992","-","-","-",NA,"11,350",""
"11","Ministry of Higher Education and Scientific Research","9,119","6 ,314","639","445","-","1,579","-",NA,"141",""
"12","Ministry of Health","145,076","5 5,330","5,090","76,755","-","-","3,236",NA,"4,664",""
"13","Ministry of Women's Affairs","661","3 28","33","196","-","-","-",NA,"104",""
"14","Ministry of Social Affairs","27,414","4 ,073","447","527","-","21,858","-",NA,"509",""
"15","Ministry of Information","605","4 62","48","95","-","-","-",NA,"-",""
"16","Palestinian Broadcasting Corporation","7,268","4 ,653","448","2,167","-","-","1",NA,"-",""
"17","The Palestinian News Agency - WAFA","1,213","9 77","112","119","-","-","6",NA,"-",""
"18","Al-Hayat Al-Jadida Press","2,504","3 71","24","165","-","-","-",NA,"1,944",""
"19","Higher Council For Youth And Sports","2,889","2 ,280","215","394","-","-","-",NA,"-",""
"20","Ministry of Culture","1,422","9 11","102","217","-","-","-",NA,"192",""
"21","Dar Al Fatwa and Islamic Research","472","4 02","28","41","-","-","-",NA,"-",""
"22","The Ministry of Awqaf and Religious Affairs","10,067","8 ,855","934","278","-","-","-",NA,"-",""
"23","Ministry of Labor","3,151","2 ,699","261","191","-","-","-",NA,"-",""
"24","Leadership and mastery","25","-","-","25","-","-","-",NA,"-",""
"25","Total","436,427","2 65,182","26,055","99,606","-","23,438","3,243",NA,"18,904",""
"26","Grand Total","999,261","5 68,005","55,073","157,450","15,452","1 52,333","4,043",NA,"46,905",""
