"","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","Budget","Actual.as"
"1","","Jan","Feb","March","April","May","June","July","August","Sep.","Oct.","Nov.","Q 1","Q2","Q 3","Jan - Nov.","",""
"2","","","","","","","","","","","","","","","","","2020","% of Budget"
"3","1. Social assistance benefits","80.666","121.523","121.229","250.990","110.202","83.902","312.102","114.171","116.550","141.950","119.440","323.418","445.094","542.823","1,572.725","",""
"4","Social assistance","35.562","55.483","54.026","184.450","43.201","38.455","197.166","48.645","49.980","55.010","53.600","145.071","266.106","295.791","815.578","",""
"5","Assistance to vulnerable families","27.486","48.858","50.007","49.361","49.830","28.272","97.756","48.355","49.410","69.730","48.680","126.351","127.463","195.521","567.745","",""
"6","Unemployment benefits","17.618","17.182","17.196","17.179","17.171","17.175","17.180","17.171","17.160","17.210","17.160","51.996","51.525","5 1.511","189.402","",""
"7","2. Social security benefits (civilian and military pensions)","77.205","193.171","193.009","189.128","187.436","79.689","289.176","186.991","188.270","187.090","138.760","463.385","456.253","664.437","1,909.925","",""
"8","3. Payments to NGOs and civil society & universities","0.323","1.918","7.201","2.826","4.376","1.708","16.981","9.885","23.740","5.700","2.900","9.442","8.910","5 0.606","7 7.558","",""
"9","4. Compensation for damages & emergency expenditures - Reserves","2.382","0.854","5.032","14.375","0.885","10.700","8.723","9.990","5.080","7.550","12.100","8.268","25.960","2 3.793","7 7.671","",""
"10","5. Local government support","0.344","1.782","1.194","0.554","1.260","1.318","1.104","2.969","3.190","1.250","4.450","3.320","3.132","7.263","1 9.415","",""
"11","6. Other transfers","-","1.730","1.947","1.541","2.578","1.395","2.012","4.726","7.830","6.260","5.670","3.677","5.514","1 4.568","3 5.689","",""
"12","7. Educational subsidies & scholarships","-","0.182","-","-","0.079","1.241","-","0.154","0.070","0.970","0.320","0.182","1.320","0.224","3.016","",""
"13","Total","160.920","321.160","329.612","459.414","306.816","179.953","630.098","328.886","344.730","350.770","283.640","811.692","946.183","1,303.714","3,695.999","5,770.60",""
"14","","","","","","","","","","","","","","","","","","Jan. 24, 2021"
"15","Table 8b. Fiscal Operations: Transfers, (Cash Basis) November 2020, million NIS.","","","","","","","","","","","","","","","","",""
"16","","","","","","","","","","","","","","","","","Budget","Actual as"
"17","","Jan","Febr","March","April","May","June","July","August","Sep.","Oct.","Nov.","Q1","Q2","Q3","Jan - Nov.","",""
"18","","","","","","","","","","","","","","","","","2020","% of Budget"
"19","1. Social assistance benefits","80.666","120.991","120.982","250.898","29.969","3.141","326.093","6.028","127.306","32.980","96.886","322.639","284.008","459.427","1,195.940","",""
"20","Social assistance","35.562","54.979","53.892","184.358","8.497","3.141","200.011","6.024","56.473","12.010","34.114","144.433","195.996","262.508","649.061","",""
"21","Assistance to vulnerable families","27.486","48.830","49.894","49.361","21.472","-","92.710","0.004","70.833","20.970","46.097","126.210","70.833","163.547","427.657","",""
"22","Unemployment benefits","17.618","17.182","17.196","17.179","-","-","33.372","-","-","-","16.675","51.996","17.179","3 3.372","119.222","",""
"23","2. Social security benefits (civilian and military pensions)","77.205","189.171","191.009","187.128","112.626","-","234.396","60.401","194.296","1.410","111.399","457.385","299.754","489.093","1,359.041","",""
"24","3. Payments to NGOs and civil society & universities","-","0.302","1.389","2.133","3.376","1.447","2.592","0.840","20.493","1.270","0.799","1.691","6.956","2 3.925","3 4.641","",""
"25","4. Compensation for damages & emergency expenditures - Reserves","1.786","0.323","0.156","9.678","0.782","8.239","5.127","6.325","0.992","4.070","8.105","2.265","18.699","1 2.444","4 5.583","",""
"26","5. Local government support","-","1.192","0.533","0.525","0.676","0.100","0.689","1.260","2.329","1.140","3.595","1.725","1.301","4.278","1 2.039","",""
"27","6. Other transfers","-","0.521","0.587","0.247","2.216","1.141","0.915","1.690","5.894","4.760","4.455","1.108","3.604","8.499","2 2.426","",""
"28","7. Educational subsidies & scholarships","-","-","-","-","-","-","-","-","0.023","-","-","-","-","0.023","0.023","",""
"29","Total","159.657","312.500","314.656","450.609","149.645","14.068","569.812","76.544","351.333","45.630","225.239","786.813","614.322","997.689","2,669.693","5,770.60",""
