"","X","Total","Wages.and","Social","Use.of.goods","Interest","Transfer","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments","Expenditure","Expenditure","Expenditure"
"2","1. General public services","231,602","47,799","3,327","34,216","23,177","79,943","673","42,468"
"3","President's Office","18,121","7,054","706","10,235","-","-","126","-"
"4","P.L.O. Institutions","75,063","9,926","459","8,793","-","54,670","5","1,210"
"5","Legislative Council","1,123","851","95","84","-","92","-","-"
"6","Ministers' Council","1,293","528","38","509","-","-","158","60"
"7","General Secretariat for the council of ministers","1,292","960","89","211","-","-","33","-"
"8","Office of the Deputy Prime Minister","40","28","1","11","-","-","-","-"
"9","State Audit & Administrative Control Bureau","1,025","758","86","181","-","-","-","-"
"10","Ministry of Local Government","32,867","1,873","181","832","-","4,452","34","25,496"
"11","Ministry of Finance & Planning","18,049","6,003","532","1,477","-","9,056","98","883"
"12","Ministry of Foreign Affairs","5,646","4,809","310","507","-","-","20","-"
"13","Embassies","13,082","6,745","-","5,629","-","548","160","-"
"14","Negotiations Affairs Department","168","117","12","39","-","-","-","-"
"15","General Personnel Office","5,616","4,703","569","300","-","-","26","18"
"16","Palestinian Central Bureau of Statistics","2,977","1,031","118","203","-","-","-","1,625"
"17","Ministry of Jerusalem Affairs","7,070","855","13","78","-","3,739","-","2,384"
"18","General Authority for crossings and borders","12,211","1,283","91","3,932","-","-","13","6,891"
"19","Non Governmental Organization","2,879","266","27","96","-","2,490","-","-"
"20","Central Election Committee","4,817","-","-","917","-","-","-","3,900"
"21","General Expenditures","2,339","-","-","-","-","2,339","-","-"
"22","Public Debt Interest Payments","23,177","-","-","-","23,177","-","-","-"
"23","Financial Reserves","2,556","-","-","-","-","2,556","-","-"
"24","Leadership and mastery","190","7","1","183","-","-","-","-"
"25","2. Defense","-","-","-","-","-","-","-","-"
"26","3. Public order and safety","310,692","222,842","23,203","55,987","0","0","1,591","7,069"
"27","Ministry of Interior and National Security","292,309","210,194","2 1,904","52,610","-","-","1,577","6,024"
"28","Ministry of Justice","5,208","3,828","423","821","-","-","2","134"
"29","Supreme Judge Department","3,189","1,779","167","374","-","-","10","860"
"30","High Judicial Council","9,364","6,605","693","2,061","-","-","2","2"
"31","The Supreme Constitutional Court","475","377","12","86","-","-","-","-"
"32","Supreme Council for Public Procurement Policies","146","57","4","35","-","-","-","49"
"33","4. Economic affairs","44,099","18,967","1,823","5,002","0","4","45","18,258"
"34","Ministry of National Economy","3,721","2,972","341","408","-","-","-","-"
"35","Specifications and Standards Office","811","630","60","121","-","-","-","-"
"36","Ministry of Agriculture","21,833","5,786","517","1,402","-","4","-","14,124"
"37","Ministry of Energy and Natural Resources","920","343","27","300","-","-","-","250"
"38","Ministry of Transportation","4,207","2,885","275","1,041","-","-","6","-"
"39","Ministry of Communications and Information Technology","6,611","2,112","193","637","-","-","-","3,670"
"40","Ministry of Tourism and Antiquities","1,703","1,277","108","313","-","-","6","-"
"41","Ministry of Labor","3,508","2,535","256","472","-","-","31","215"
"42","General Authority for Investment Promotion","229","154","17","56","-","-","2","-"
"43","Industrial Zones Board","555","273","31","251","-","-","-","-"
