"","X","Total","Wages.and","Social","Use.of.goods","Interest","X.1","Transfer","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments",NA,"Expenditure","Expenditure","Expenditure"
"2","5. Environmental protection","1,191","858","98","174","0",NA,"0","0","61"
"3","Environmental Quality Authority","1,191","858","98","174","-",NA,"-","-","61"
"4","6. Housing and community amenities","23,228","6,267","592","6,551","0",NA,"0","76","9,743"
"5","Ministry of Public Works and Housing","7,574","2,892","296","509","-",NA,"-","61","3,816"
"6","Land Authority","2,195","1,416","137","516","-",NA,"-","0","126"
"7","Palestinian Water Authority","11,013","1,256","112","5,089","-",NA,"-","15","4,541"
"8","Form of Land & Water  intercession","2,447","703","47","437","-",NA,"-","-","1,259"
"9","7. Health","243,923","58,506","5,440","157,088","0",NA,"0","12,518","10,371"
"10","Ministry of Health","243,923","58,506","5,440","157,088","-",NA,"-","12,518","10,371"
"11","8. Recreation, culture, and religion","40,266","18,214","1,885","18,749","0",NA,"0","246","1,171"
"12","Higher Council For Youth And Sports","5,382","2,148","211","3,023","-",NA,"-","-","-"
"13","Ministry of Culture","2,001","960","102","584","-",NA,"-","22","333"
"14","Ministry of Information","595","473","47","75","-",NA,"-","-","-"
"15","Palestinian Broadcasting Corporation","19,347","4,320","447","14,364","-",NA,"-","216","-"
"16","The Palestinian News Agency - WAFA","1,240","975","109","147","-",NA,"-","8","-"
"17","Al-Hayat Al-Jadida Press","1,347","360","24","126","-",NA,"-","-","837"
"18","The Ministry of Awqaf and Religious Affairs","9,783","8,598","916","270","-",NA,"-","-","-"
"19","Dar Al Fatwa and Islamic Research","571","380","29","162","-",NA,"-","-","-"
"20","9. Education","250,451","185,070","18,776","27,521","0",NA,"320","2","18,761"
"21","Ministry of Education","241,872","178,642","1 8,086","26,992","-",NA,"-","2","18,149"
"22","Ministry of Higher Education and Scientific Research","8,579","6,428","690","529","-",NA,"320","-","612"
"23","10. Social protection","209,949","4,504","477","1,087","0",NA,"203,371","26","484"
"24","Ministry of Social Affairs","71,937","4,118","445","951","-",NA,"66,105","11","308"
"25","Ministry of Women's Affairs","715","355","32","137","-",NA,"-","15","176"
"26","Retirees Pension Allowances","137,297","31","-","-","-",NA,"137,266","-","-"
"27","Totals","1,355,401","563,026","55,621","306,376","23,177",NA,"283,638","15,176","108,386"
