"","X","X.1","Actual.as.Jan.Feb","Mar","Apr","May","June","July","Aug","Sep","Oct","Nov","Q1","Q2","Q3","Jan.Nov","Budget","X.2"
"1","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,"% of Budget"
"2","Total Net Revenue (Commitment Basis)","","1263.5 1201.1",902.1,765.2,849,742,811.4,962.1,1112.4,1061.4,1064.4,3366.7,2356.2,2885.8,10734.6,8358,"128%"
"3","Total Net Revenue (Cash Basis)","","1224.5 1159.7",1006.2,1265.3,194.3,258,242.4,286.5,411.4,380.6,299.6,3390.4,1717.6,940.3,6728.5,8358,"81%"
"4","Gross Domestic Revenue (Commitment Basis)","","597.7 506.5",243.5,127.3,204.3,295.6,256.7,296.8,449,390.7,315.3,1347.7,627.2,1002.5,3683.4,1863,"198%"
"5","Tax","","376.2 339.3",146,106.7,153.3,213.6,166,186.9,206.4,192.2,222.7,861.4,473.6,559.2,2309.2,1184,"195%"
"6","Nontax","","112.3 137.0",86.6,20,39.3,55,75.4,83.7,209.7,167.6,70.1,335.9,114.2,368.9,1056.7,553,"191%"
"7","Earmarked Collections (1)","","109.2 30.2",10.9,0.6,11.6,27.1,15.3,26.3,32.8,31,22.5,150.4,39.3,74.4,317.6,126,"252%"
"8","Clearance Revenue (Accrued)","","700.5 746.1",717.7,649.8,658.3,476.3,569,684.3,706,684.3,767.5,2164.3,1784.4,1959.2,7359.7,6835,"108%"
"9","Clearance Revenue (Cash Basis)","","658.6 704.2",794.4,1150,0,0,0,0,0,0,0,2157.1,1150,0,3307.1,6835,"48%"
"10","Clearance Revenue Withheld  (2)","","41.9 41.9",-76.6,-500.2,658.3,476.3,569,684.3,706,684.3,767.5,7.2,634.4,1959.2,4052.6,NA,""
"11","Tax Refunds (Commitment Basis)","","34.7 51.5",59.1,12,13.5,29.8,14.4,19.1,42.6,13.6,18.3,145.3,55.3,76,308.6,340,"91%"
"12","Tax Refunds (Cash Basis)","","31.8 51.0",31.6,12,10,37.6,14.3,10.3,37.6,10.1,15.7,114.4,59.6,62.2,262.1,340,"77%"
"13","Tax Refund (Arrears)","","2.9 0.5",27.5,0,3.5,-7.8,0,8.7,5,3.5,2.6,30.9,-4.3,13.8,46.5,NA,""
"14","Total Expenditure & Net lending (Commitment Basis)","","1009.0 1198.8",1151.3,1294.7,1223.9,963.1,1455.4,1149.7,1256.8,1293.4,1258,3359.1,3481.7,3862,13254.3,16387,"81%"
"15","Total Expenditure & Net lending (Cash Basis)","","783.5 1085.7",1028.5,1142,287.4,49.7,1309.7,120.7,1074.1,151.3,662.3,2897.8,1479.1,2504.6,7695.1,16387,"47%"
"16","Total Expenditure & Net lending (Arrears)","","225.5 113.1",122.7,152.7,936.5,913.4,145.7,1029,182.7,1142.1,595.8,461.3,2002.6,1357.4,5559.2,NA,""
"17","Wages and salaries (arrears)","","53.8 49.5",51.7,53.6,519.2,513,-13.6,553.4,-54.6,532.2,238.1,155.1,1085.9,485.2,2496.4,NA,""
"18","Gov. Social contributions (arrears)","","55.2 34.6",34.4,34.5,46.6,55.2,35.3,58.2,41.9,56,45.6,124.3,136.3,135.5,497.7,NA,""
"19","Use of goods and services (arrears)","","0.2 26.9",27.3,28.8,113.6,155.7,54.5,125.1,151.5,225.7,227.9,54.4,298.1,331.1,1137.2,NA,""
"20","Transfers (arrears)","","1.3 8.8",15,9.1,157.7,165.9,60.3,252.3,-6.6,305.1,58.4,25,332.6,306,1027.2,NA,""
"21","Minor capital (arrears)","","0.0 0.2",0.3,7.7,0.5,6.2,0.9,7.5,14.3,11.6,7.3,0.6,14.4,22.7,56.6,NA,""
"22","Interest (arrears)","","5.8 0.0",-0.9,19,-6.7,7.2,9.3,10.8,9.8,1.4,11.2,4.8,19.6,29.9,66.9,NA,""
"23","Domestic (arrears)","","5.8 0.0",-1,16.2,3.9,5.1,9.3,9.8,10.7,2.5,9.4,4.8,25.2,29.8,71.8,NA,""
"24","External (arrears)","","0.0 0.0",0,2.8,-10.6,2.1,0,1.1,-1,-1,1.8,0,-5.7,0.1,-4.8,NA,""
"25","Net lending (arrears) (3)","","0.0 0.0",0,0,107.6,0,0,0,0,-0.2,0,0,107.6,0,107.4,NA,""
"26","Earmarked Payments (Arrears) (1)","","109.2 -6.9",-5.1,0.1,-2.1,10.1,-1,21.7,26.4,10.1,7.3,97.2,8.1,47.1,169.8,NA,""
"27","Current Balance (Commitment Basis)","","254.4 2.3",-249.2,-529.5,-374.9,-221.1,-644.1,-187.7,-144.4,-232,-193.6,7.6,-1125.5,-976.2,-2519.7,-8029,"31%"
"28","Current Balance (Cash Basis)","","440.9 74.0",-22.3,123.4,-93.2,208.2,-1067.3,165.8,-662.7,229.3,-362.7,492.6,238.4,-1564.3,-966.6,-8029,"12%"
"29","Development Expenditure (Commitment Basis)","","6.3 65.3",76.4,46.9,46.9,83,79,72.3,93.8,92.3,108.4,148,176.8,245.1,770.6,1400,"55%"
"30","Development Expenditure (Cash Basis)","","6.2 23.3",45.8,30.4,37.5,47.2,45,39.9,48.2,50.2,62.2,75.4,115.1,133.1,436,1400,"31%"
"31","Development Expenditure (Arrears)","","0.0 42.0",30.5,16.5,9.4,35.8,34,32.4,45.6,42.1,46.2,72.6,61.7,112,334.6,NA,""
"32","Balance (Commitment Basis)","","248.1 -63.0",-325.5,-576.4,-421.8,-304,-723.1,-260,-238.2,-324.3,-302,-140.4,-1302.3,-1221.3,-3290.3,-9429,"35%"
"33","Balance (Cash Basis)","","434.7 50.6",-68.1,92.9,-130.7,161.1,-1112.3,125.9,-710.9,179.1,-424.9,417.2,123.3,-1697.4,-1402.6,-9429,"15%"
"34","Financing","","-434.7 -50.6",68.1,-92.9,130.7,-161.1,1112.3,-125.9,710.9,-179.1,424.9,-417.2,-123.3,1697.4,1402.6,9429,"15%"
"35","External Budgetary Support","","0.0 138.4",108.1,194.3,282.7,67.4,99.4,78.7,75.7,41,37,246.5,544.3,253.8,1122.5,1509,"74%"
"36","Development Financing","","2.1 12.3",17.6,54.1,43.6,47.9,19.8,49.4,70.9,23.3,39,32.1,145.5,140.1,380,720,"53%"
"37","Net Domestic Bank Financing  (4)","","-389.2 -108.6",38.7,-289.6,-87.6,-186.4,1055.2,-155.5,741.6,-142.3,450,-459.2,-563.5,1641.3,926.3,2160,"43%"
