"","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","Actual.as"
"1","","","","","","","","","","","","","","","","","Budget",""
"2","","Jan","Feb","Mar","Apr","May","June","July","Aug","Sep","Oct","Nov","Q1","Q2","Q3","Jan-Nov","","% of"
"3","","","","","","","","","","","","","","","","","2020",""
"4","","","","","","","","","","","","","","","","","","Budget"
"5","Total Net Revenues (1)","1263.5","1201.1","902.1","765.2","849.0","742.0","811.4","962.1","1112.4","1061.4","1064.4","3366.7","2356.2","2885.8","10734.6","8,358.0","128%"
"6","A.  Net Tax Revenues","1151.2","1064.1","815.5","745.2","809.7","687.1","735.9","878.3","902.6","893.8","994.4","3030.8","2242.0","2516.9","9677.9","7,805.0","124%"
"7","1.  Domestic Tax Revenues","376.2","339.3","146.0","106.7","153.3","213.6","166.0","186.9","206.4","192.2","222.7","861.4","473.6","559.2","2309.2","1,184.0","195%"
"8","Income Tax","115.1","151.9","42.3","27.9","24.2","34.5","41.9","31.9","42.3","38.5","43.9","309.3","86.6","116.1","594.4","",""
"9","Value Added Tax","158.7","99.2","51.3","42.6","83.8","89.7","68.7","89.8","88.5","91.8","93.5","309.2","216.1","247.0","957.7","",""
"10","Customs","73.5","71.0","37.9","8.3","28.3","59.6","24.5","36.4","46.7","35.3","51.6","182.4","96.2","107.7","473.1","",""
"11","Excises on Beverages","0.9","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","1.6","1.1","1.1","4.5","",""
"12","Excises on Tobacco **","18.4","16.1","13.8","27.6","16.5","28.5","30.3","28.0","28.2","25.7","32.3","48.3","72.7","86.5","265.6","",""
"13","Property Tax","9.7","0.6","0.3","0.0","0.1","0.9","0.2","0.3","0.4","0.4","1.0","10.6","1.0","0.9","13.9","",""
"14","2.  Clearance Revenue *","700.5","746.1","717.7","649.8","658.3","476.3","569.0","684.3","706.0","684.3","767.5","2164.3","1784.4","1959.2","7359.7","6,835.0","108%"
"15","Customs","314.3","330.9","300.6","280.4","346.0","239.5","255.7","345.8","357.1","344.1","357.6","945.8","865.9","958.6","3472.0","",""
"16","Value Added Tax","168.6","187.6","183.4","166.7","144.0","115.5","118.6","135.6","150.9","143.0","166.6","539.7","426.2","405.1","1680.5","",""
"17","Purchase Tax","1.8","-3.9","1.6","1.1","0.3","-7.2","2.2","-2.7","-2.3","-3.5","0.5","-0.6","-5.8","-2.7","-12.1","",""
"18","Petroleum Excise","215.8","231.5","205.1","201.6","168.0","106.4","192.6","205.5","200.3","200.6","215.6","652.4","476.1","598.4","2143.0","",""
"19","Income Tax","-","-","27.0","-","-","22.00","0.0","0.0","0.0","0.0","27.2","27.0","22.00","-","76.2","",""
"20","Other","-","-","-","-","-","-","0.0","0.0","0.0","0.0","0.0","0.0","-","-","-","",""
"21","3. Earmarked Collections (3)","109.2","30.2","10.9","0.6","11.6","27.1","15.3","26.3","32.8","31.0","22.5","150.4","39.3","74.4","317.6","126.0","252%"
"22","Property Tax","87.4","16.4","2.2","0.1","0.9","3.0","1.4","2.4","6.7","3.3","3.8","106.1","3.9","10.6","127.7","",""
"23","Transportation","12.5","12.1","6.7","0.2","9.6","18.9","10.3","15.8","15.5","14.1","15.7","31.4","28.7","41.5","131.4","",""
"24","other","9.3","1.7","1.9","0.3","1.2","5.2","3.7","8.1","10.6","13.6","3.0","12.9","6.7","22.4","58.5","",""
"25","4.  Tax Refunds (-)","34.7","51.5","59.1","12.0","13.5","29.8","14.4","19.1","42.6","13.6","18.3","145.3","55.3","76.0","308.6","3 40.0","91%"
"26","Fuel","30.0","50.0","25.0","12.0","10.0","14.0","10.0","10.0","18.0","10.0","15.0","105.0","36.0","38.0","204.0","",""
"27","Other (2)","4.7","1.5","34.1","0.0","3.5","15.8","4.4","9.1","24.6","3.6","3.3","40.3","19.3","38.0","104.6","",""
"28","B.  Nontax Revenues","112.3","137.0","86.6","20.0","39.3","55.0","75.4","83.7","209.7","167.6","70.1","335.9","114.2","368.9","1056.7","5 53.0","191%"
"29","1.  Domestic Fees and Charges","111.7","96.5","86.5","20.0","39.0","54.9","75.3","83.7","209.7","114.7","70.1","294.7","113.9","368.7","962.0","",""
