"","X","X.1","Wages.and","Social","Use.of.goods","Interest","Transfer","Minor.Capital","Development"
"1","","Total Expenditure","","","","","","",""
"2","","","salaries","contributions","and services","payments","Expenditure","Expenditure","Expenditure"
"3","Governance Sector","","","","","","","",""
"4","President's Office","18,121","7 ,054.43","7 06.07","1 0,234.75","-","-","1 26.00","-"
"5","P.L.O. Institutions","75,063","9 ,925.99","4 59.46","8,792.92","-","5 4,670.43","4 .60","1,209.99"
"6","Legislative Council","1,123","851.20","9 5.42","8 4.43","-","9 2.40","-","-"
"7","Ministers' Council","1,293","528.27","3 7.50","5 09.09","-","-","1 57.57","6 0.48"
"8","General Secretariat for the council of ministers","1,292","959.53","8 8.60","2 11.44","-","-","3 2.75","-"
"9","Office of the Deputy Prime Minister","40","27.85","0 .52","1 1.21","-","-","-","-"
"10","State Audit & Administrative Control Bureau","1,025","758.40","8 5.63","1 81.28","-","-","-","-"
"11","General Personnel Office","5,616","4 ,703.23","5 69.35","2 99.50","-","-","2 5.71","1 8.03"
"12","Ministry of Finance & Planning","18,049","6 ,003.02","5 31.68","1,476.99","-","9 ,056.36","9 8.43","8 82.68"
"13","Ministry of Jerusalem Affairs","7,070","855.41","1 3.27","7 7.57","-","3 ,739.37","-","2,383.95"
"14","Non Governmental Organization","2,879","266.28","2 6.89","9 5.77","-","2 ,489.86","-","-"
"15","Retirees Pension Allowances","137,297","30.92","-","-","-","137,265.59","-","-"
"16","Public Debt Interest Payments","23,177","-","-","-","2 3,176.98","-","-","-"
"17","General Expenditures","2,339","-","-","-","-","2 ,338.91","-","-"
"18","Financial Reserves","2,556","-","-","-","-","2 ,555.94","-","-"
"19","General Authority for crossings and borders","12,211","1 ,283.25","9 1.15","3,931.74","-","-","1 3.00","6,891.49"
"20","Negotiations Affairs Department","168","117.33","1 1.60","3 8.69","-","-","-","-"
"21","Embassies","13,082","6 ,745.01","-","5,628.93","-","548.43","1 60.12","-"
"22","Central Election Committee","4,817","-","-","9 16.67","-","-","-","3,900.26"
"23","Ministry of Interior and National Security","292,309","210,194.28","2 1,904.11","5 2,609.78","-","-","1,576.69","6,024.50"
"24","Ministry of Justice","5,208","3 ,828.42","4 22.76","8 21.31","-","-","2 .21","1 33.58"
"25","High Judicial Council","9,364","6 ,605.34","6 93.31","2,061.35","-","-","1 .95","2.28"
"26","Ministry of Foreign Affairs","5,646","4 ,808.69","3 10.04","5 06.90","-","-","2 0.17","-"
"27","Supreme Judge Department","3,189","1 ,779.31","1 66.59","3 73.57","-","-","1 0.00","8 59.99"
"28","Supreme Council for Public Procurement Policies","146","57.31","4 .23","3 5.32","-","-","-","4 8.80"
"29","The Supreme Constitutional Court","475","377.41","1 1.75","8 5.91","-","-","-","-"
"30","Total","6 43,555","2 67,761","26,230","8 8,985","2 3,177","212,757","2,229","2 2,416"
"31","Infrastructure Sector","","","","","","","",""
"32","Palestinian Water Authority","11,013","1 ,256.25","1 12.08","5,088.83","-","-","1 4.78","4,541.36"
"33","Ministry of Energy and Natural Resources","920","342.70","2 7.45","3 00.46","-","-","-","2 49.76"
"34","Ministry of Transportation","4,207","2 ,885.16","2 75.32","1,040.82","-","-","6 .15","-"
"35","Ministry of Communications and Information Technolo","6,611","2 ,111.88","1 92.50","6 36.98","-","-","-","3,670.07"
"36","Ministry of Public Works and Housing","7,574","2 ,891.88","2 96.12","5 08.69","-","-","6 0.53","3,816.37"
"37","Ministry of Local Government","32,867","1 ,873.08","1 80.58","8 31.98","-","4 ,451.64","3 4.28","25,495.78"
"38","Environmental Quality Authority","1,191","857.72","9 8.00","1 74.36","-","-","-","6 0.72"
"39","Total","6 4,384","1 2,219","1 ,182","8 ,582","-","4 ,452","1 16","3 7,834"
"40","Economic Affairs","","","","","","","",""
"41","Palestinian Central Bureau of Statistics","2,977","1 ,031.01","1 18.03","2 03.25","-","-","-","1,624.86"
"42","Ministry of Tourism and Antiquities","1,703","1 ,277.02","1 07.70","3 12.98","-","-","5 .62","-"
"43","Land Authority","2,195","1 ,415.52","1 36.90","5 16.03","-","-","0 .23","1 25.99"
"44","Ministry of National Economy","3,721","2 ,971.63","3 40.66","4 08.39","-","-","-","-"
"45","Industrial Zones Board","555","273.47","3 0.92","2 50.57","-","-","-","-"
"46","Specifications and Standards Office","811","630.32","5 9.70","1 21.26","-","-","-","-"
"47","General Authority for Investment Promotion","229","153.65","1 6.82","5 5.85","-","-","2 .20","-"
"48","Ministry of Agriculture","21,833","5 ,786.01","5 16.83","1,402.31","-","4 .33","-","14,123.58"
"49","Form of Land & Water  intercession","2,447","703.38","4 6.99","4 37.22","-","-","-","1,259.34"
"50","Total","3 6,471","1 4,242","1 ,375","3 ,708","-","4","8","1 7,134"
