"","X","X.1","X.2","Social","Use.of.goods","Interest","X.3","Transfer","Minor.Capital","Development"
"1","","Total Expenditure","Wages and salaries","","","",NA,"","",""
"2","","","","contributions","and services","payments",NA,"Expenditure","Expenditure","Expenditure"
"3","Governance Sector","","","","","",NA,"","",""
"4","President's Office","114,820","7 7,309","7,849","2 8,626","-",NA,"-","713","323"
"5","P.L.O. Institutions","791,852","1 14,989","5,104","1 07,442","-",NA,"5 52,711","126","1 1,480"
"6","Legislative Council","1 2,702","9,662","1,077","947","-",NA,"1,016","-","-"
"7","Ministers' Council","1 3,551","5,788","421","4,672","-",NA,"-","479","2,192"
"8","General Secretariat for the council of ministers","1 2,715","9,557","988","2,092","-",NA,"-","6 8","1 0"
"9","Office of the Deputy Prime Minister","572","289","6","276","-",NA,"-","1","-"
"10","State Audit & Administrative Control Bureau","1 1,084","8,367","948","1,769","-",NA,"-","-","-"
"11","General Personnel Office","6 2,206","5 2,338","6,159","3,532","-",NA,"-","117","6 0"
"12","Ministry of Finance & Planning","154,291","6 6,169","5,922","1 5,210","-",NA,"5 7,190","1,280","8,521"
"13","Ministry of Jerusalem Affairs","5 4,683","9,054","156","728","-",NA,"2 8,897","4 3","1 5,805"
"14","Non Governmental Organization","2 7,320","3,121","307","513","-",NA,"2 3,379","-","-"
"15","Retirees Pension Allowances","1,886,576","244","(69)","-","-",NA,"1 ,886,402","-","-"
"16","Public Debt Interest Payments","180,561","-","-","-","1 80,561",NA,"-","-","-"
"17","General Expenditures","1 4,958","-","-","-","-",NA,"1 4,958","-","-"
"18","Financial Reserves","1 7,804","-","-","-","-",NA,"1 7,804","-","-"
"19","General Authority for crossings and borders","105,756","1 3,722","1,006","3 2,773","-",NA,"-","542","5 7,713"
"20","Negotiations Affairs Department","1,831","1,218","126","487","-",NA,"-","-","-"
"21","Embassies","164,040","8 2,066","-","7 0,972","-",NA,"9,552","1,451","-"
"22","Central Election Committee","2 0,005","-","-","1 1,000","-",NA,"-","-","9,005"
"23","Ministry of Interior and National Security","2,998,430","2 ,292,103","2 43,130","3 48,372","-",NA,"-","4,447","1 10,378"
"24","Ministry of Justice","5 4,340","4 1,753","4,629","7,192","-",NA,"-","1 6","750"
"25","High Judicial Council","9 3,635","6 9,747","7,556","1 4,427","-",NA,"-","128","1,777"
"26","Ministry of Foreign Affairs","6 2,335","5 3,001","3,608","3,480","-",NA,"-","4 7","2,199"
"27","Supreme Judge Department","2 5,553","1 9,408","1,864","2,943","-",NA,"-","2 9","1,309"
"28","Supreme Council for Public Procurement Policies","1,810","536","4 6","161","-",NA,"-","-","1,066"
"29","The Supreme Constitutional Court","4,905","4,027","126","736","-",NA,"-","1 5","-"
"30","Total","6 ,888,336","2 ,934,467","290,959","658,349","180,561",NA,"2 ,591,910","9 ,502","222,588"
"31","Infrastructure Sector","","","","","",NA,"","",""
"32","Palestinian Water Authority","116,780","1 4,311","1,252","2 6,738","-",NA,"-","235","7 4,244"
"33","Ministry of Energy and Natural Resources","6 5,794","3,490","299","1,279","-",NA,"3 9,605","1 2","2 1,109"
"34","Ministry of Transportation","4 1,527","3 1,056","3,053","6,486","-",NA,"-","6","925"
"35","Ministry of Communications and Information Technol","4 2,537","2 3,769","2,116","1 2,146","-",NA,"-","-","4,506"
"36","Ministry of Public Works and Housing","8 3,377","3 2,535","3,303","4,751","-",NA,"-","195","4 2,592"
"37","Ministry of Local Government","135,687","2 0,294","1,999","4,282","-",NA,"1 9,413","4 1","8 9,657"
"38","Environmental Quality Authority","1 3,593","9,594","1,123","1,174","-",NA,"-","3 1","1,670"
"39","Total","4 99,295","135,049","1 3,145","5 6,858","-",NA,"5 9,018","5 21","234,704"
"40","Economic Affairs","","","","","",NA,"","",""
"41","Palestinian Central Bureau of Statistics","2 7,421","1 1,682","1,305","4,284","-",NA,"-","-","1 0,150"
"42","Ministry of Tourism and Antiquities","2 8,499","1 3,847","1,190","3,021","-",NA,"-","4 5","1 0,397"
"43","Land Authority","2 1,540","1 6,388","1,528","3,057","-",NA,"-","1 2","556"
"44","Ministry of National Economy","4 0,062","3 2,923","3,791","3,348","-",NA,"-","-","-"
"45","Industrial Zones Board","4,150","3,046","349","599","-",NA,"-","2 1","136"
"46","Specifications and Standards Office","9,616","6,794","667","1,486","-",NA,"-","192","477"
"47","General Authority for Investment Promotion","2,294","1,690","191","397","-",NA,"-","1 6","-"
"48","Ministry of Agriculture","117,735","6 3,661","5,727","1 2,248","-",NA,"4","-","3 6,095"
"49","Form of Land & Water  intercession","2 3,529","9,963","516","1,421","-",NA,"-","0","1 1,629"
"50","Total","2 74,846","159,994","1 5,264","2 9,861","-",NA,"4","2 84","6 9,440"
