"","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","Budget","Actual.as"
"1","","Jan","Feb","March","April","May","June","July","August","Sep.","Oct.","Q 1","Q2","Q 3","Jan - Oct.","",""
"2","","","","","","","","","","","","","","","","2020","% of Budget"
"3","1. Social assistance benefits","8 0.666","1 21.523","1 21.229","2 50.990","1 10.202","8 3.902","3 12.102","1 14.171","1 16.550","1 41.950","3 23.418","4 45.094","5 42.823","1,453.285","",""
"4","Social assistance","3 5.562","5 5.483","5 4.026","1 84.450","4 3.201","3 8.455","1 97.166","4 8.645","4 9.980","5 5.010","1 45.071","2 66.106","2 95.791","761.978","",""
"5","Assistance to vulnerable families","2 7.486","4 8.858","5 0.007","4 9.361","4 9.830","2 8.272","9 7.756","4 8.355","4 9.410","6 9.730","1 26.351","1 27.463","1 95.521","519.065","",""
"6","Unemployment benefits","1 7.618","1 7.182","1 7.196","1 7.179","1 7.171","1 7.175","1 7.180","1 7.171","1 7.160","1 7.210","5 1.996","5 1.525","5 1.511","172.242","",""
"7","2. Social security benefits (civilian and military pensions)","7 7.205","1 93.171","1 93.009","1 89.128","1 87.436","7 9.689","2 89.176","1 86.991","1 88.270","1 87.090","4 63.385","4 56.253","6 64.437","1,771.165","",""
"8","3. Payments to NGOs and civil society & universities","0 .323","1 .918","7 .201","2 .826","4 .376","1 .708","1 6.981","9 .885","2 3.740","5 .700","9 .442","8 .910","5 0.606","74.658","",""
"9","4. Compensation for damages & emergency expenditures - Reserves","2 .382","0 .854","5 .032","1 4.375","0 .885","1 0.700","8 .723","9 .990","5 .080","7 .550","8 .268","2 5.960","2 3.793","65.571","",""
"10","5. Local government support","0 .344","1 .782","1 .194","0 .554","1 .260","1 .318","1 .104","2 .969","3 .190","1 .250","3 .320","3 .132","7 .263","14.965","",""
"11","6. Other transfers","-","1 .730","1 .947","1 .541","2 .578","1 .395","2 .012","4 .726","7 .830","6 .260","3 .677","5 .514","1 4.568","30.019","",""
"12","7. Educational subsidies & scholarships","-","0 .182","-","-","0 .079","1 .241","-","0 .154","0 .070","0 .970","0 .182","1 .320","0 .224","2.696","",""
"13","Total","1 60.920","3 21.160","3 29.612","4 59.414","3 06.816","1 79.953","6 30.098","3 28.886","3 44.730","3 50.770","8 11.692","9 46.183","1 ,303.714","3,412.359","5 ,770.60",""
"14","","","","","","","","","","","","","","","","","Nov. 22, 2020"
"15","Table 8b. Fiscal Operations: Transfers, (Cash Basis) October 2020, million NIS.","","","","","","","","","","","","","","","",""
"16","","","","","","","","","","","","","","","","Budget","Actual as"
"17","","Jan","Febr","March","April","May","June","July","August","Sep.","Oct.","Q1","Q2","Q3","Jan - Oct.","",""
"18","","","","","","","","","","","","","","","","2020","% of Budget"
"19","1. Social assistance benefits","8 0.666","1 20.991","1 20.982","2 50.898","2 9.969","3 .141","3 26.093","6 .028","1 27.306","3 2.980","3 22.639","2 84.008","4 59.427","1,099.054","",""
"20","Social assistance","3 5.562","5 4.979","5 3.892","1 84.358","8 .497","3 .141","2 00.011","6 .024","5 6.473","1 2.010","1 44.433","1 95.996","2 62.508","614.947","",""
"21","Assistance to vulnerable families","2 7.486","4 8.830","4 9.894","4 9.361","2 1.472","-","9 2.710","0 .004","7 0.833","2 0.970","1 26.210","7 0.833","1 63.547","381.560","",""
"22","Unemployment benefits","1 7.618","1 7.182","1 7.196","1 7.179","-","-","3 3.372","-","-","-","5 1.996","1 7.179","3 3.372","102.547","",""
"23","2. Social security benefits (civilian and military pensions)","7 7.205","1 89.171","1 91.009","1 87.128","1 12.626","-","2 34.396","6 0.401","1 94.296","1 .410","4 57.385","2 99.754","4 89.093","1,247.642","",""
"24","3. Payments to NGOs and civil society & universities","-","0 .302","1 .389","2 .133","3 .376","1 .447","2 .592","0 .840","2 0.493","1 .270","1 .691","6 .956","2 3.925","33.842","",""
"25","4. Compensation for damages & emergency expenditures - Reserves","1 .786","0 .323","0 .156","9 .678","0 .782","8 .239","5 .127","6 .325","0 .992","4 .070","2 .265","1 8.699","1 2.444","37.478","",""
"26","5. Local government support","-","1 .192","0 .533","0 .525","0 .676","0 .100","0 .689","1 .260","2 .329","1 .140","1 .725","1 .301","4 .278","8.444","",""
"27","6. Other transfers","-","0 .521","0 .587","0 .247","2 .216","1 .141","0 .915","1 .690","5 .894","4 .760","1 .108","3 .604","8 .499","17.971","",""
"28","7. Educational subsidies & scholarships","-","-","-","-","-","-","-","-","0 .023","-","-","-","0 .023","0.023","",""
"29","Total","1 59.657","3 12.500","3 14.656","4 50.609","1 49.645","1 4.068","5 69.812","7 6.544","3 51.333","4 5.630","7 86.813","6 14.322","9 97.689","2,444.454","5 ,770.60",""
