"","X","Total","Wages.and","Social","Use.of.goods","Interest","X.1","Transfer","X.2","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments",NA,"Expenditure",NA,"Expenditure","Expenditure"
"2","Ministry of Communications and Information Technology","3,080","2,163","193","389","-",NA,"-",NA,"-","336"
"3","Ministry of Tourism and Antiquities","4,957","1,253","108","322","-",NA,"-",NA,"6","3,269"
"4","Ministry of Labor","4,386","2,524","256","1,440","-",NA,"-",NA,"5","161"
"5","General Authority for Investment Promotion","200","150","17","33","-",NA,"-",NA,"-","-"
"6","Industrial Zones Board","344","273","31","40","-",NA,"-",NA,"-","-"
"7","5. Environmental protection","1,184","863","98","168","0",NA,"0",NA,"0","55"
"8","Environmental Quality Authority","1,184","863","98","168","-",NA,"-",NA,"-","55"
"9","6. Housing and community amenities","27,384","2,791","592","7,867","0",NA,"0",NA,"86","16,047"
"10","Ministry of Public Works and Housing","6,561","2,906","296","877","-",NA,"-",NA,"19","2,464"
"11","Land Authority","2,026","1,423","137","375","-",NA,"-",NA,"-","91"
"12","Palestinian Water Authority","16,582","1,283","112","6,462","-",NA,"-",NA,"68","8,657"
"13","Form of Land & Water  intercession","2,214","(2,821)","47","153","-",NA,"-",NA,"-","4,835"
"14","7. Health","210,812","56,748","5,440","131,927","0",NA,"0",NA,"10,832","5,865"
"15","Ministry of Health","210,812","56,748","5,440","131,927","-",NA,"-",NA,"10,832","5,865"
"16","8. Recreation, culture, and religion","28,130","18,029","1,885","6,791","0",NA,"0",NA,"16","1,409"
"17","Higher Council For Youth And Sports","4,506","2,113","211","2,182","-",NA,"-",NA,"-","-"
"18","Ministry of Culture","2,157","917","102","865","-",NA,"-",NA,"6","268"
"19","Ministry of Information","584","459","47","78","-",NA,"-",NA,"-","-"
"20","Palestinian Broadcasting Corporation","7,761","4,318","447","2,987","-",NA,"-",NA,"9","-"
"21","The Palestinian News Agency - WAFA","1,194","942","109","143","-",NA,"-",NA,"-","-"
"22","Al-Hayat Al-Jadida Press","1,703","356","24","180","-",NA,"-",NA,"2","1,141"
"23","The Ministry of Awqaf and Religious Affairs","9,735","8,547","916","272","-",NA,"-",NA,"-","-"
"24","Dar Al Fatwa and Islamic Research","490","377","29","84","-",NA,"-",NA,"-","-"
"25","9. Education","252,305","182,576","18,776","29,726","0",NA,"1,421",NA,"0","19,806"
"26","Ministry of Education","242,098","176,071","18,086","29,163","-",NA,"-",NA,"-","18,778"
"27","Ministry of Higher Education and Scientific Research","10,207","6,506","690","563","-",NA,"1,421",NA,"-","1,028"
"28","10. Social protection","277,709","4,436","477","931","0",NA,"271,307",NA,"20","537"
"29","Ministry of Social Affairs","92,944","4,070","445","781","-",NA,"87,108",NA,"20","520"
"30","Ministry of Women's Affairs","543","343","32","150","-",NA,"-",NA,"-","18"
"31","Retirees Pension Allowances","184,222","23","-","-","-",NA,"184,199",NA,"-","-"
"32","Totals","1,367,575","575,917","56,010","270,109","10,110",NA,"350,772",NA,"12,332","92,327"
