"","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","Actual.as"
"1","","","","","","","","","","","","","","","","Budget",""
"2","","Jan","Feb","Mar","Apr","May","June","July","Aug","Sep","Oct","Q1","Q2","Q3","Jan-oct","","% of"
"3","","","","","","","","","","","","","","","","2020",""
"4","","","","","","","","","","","","","","","","","Budget"
"5","Total Net Revenues (1)","1263.5","1201.1","902.1","765.2","849.0","265.8","242.4","277.8","406.4","377.1","3366.7","1880.0","926.5","6550.3","8,358.0","78%"
"6","A.  Net Tax Revenues","1151.2","1064.1","815.5","745.2","809.7","210.8","166.9","194.1","196.6","209.5","3030.8","1765.7","557.7","5563.7","7,805.0","71%"
"7","1.  Domestic Tax Revenues","376.2","339.3","146.0","106.7","153.3","213.6","166.0","186.9","206.4","192.2","861.4","473.6","559.2","2086.5","1,184.0","176%"
"8","Income Tax","115.1","151.9","42.3","27.9","24.2","34.5","41.9","31.9","42.3","38.5","309.3","86.6","116.1","550.5","",""
"9","Value Added Tax","158.7","99.2","51.3","42.6","83.8","89.7","68.7","89.8","88.5","91.8","309.2","216.1","247.0","864.2","",""
"10","Customs","73.5","71.0","37.9","8.3","28.3","59.6","24.5","36.4","46.7","35.3","182.4","96.2","107.7","421.5","",""
"11","Excises on Beverages","0.9","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","1.6","1.1","1.1","4.1","",""
"12","Excises on Tobacco **","18.4","16.1","13.8","27.6","16.5","28.5","30.3","28.0","28.2","25.7","48.3","72.7","86.5","233.3","",""
"13","Property Tax","9.7","0.6","0.3","0.0","0.1","0.9","0.2","0.3","0.4","0.4","10.6","1.0","0.9","12.9","",""
"14","2.  Clearance Revenue *","700.5","746.1","717.7","649.8","658.3","","","","","","2164.3","1308.1","0.0","3472.5","6,835.0","51%"
"15","Customs","314.3","330.9","300.6","280.4","346.0","","","","","","945.8","626.4","0.0","1572.2","",""
"16","Value Added Tax","168.6","187.6","183.4","166.7","144.0","","","","","","539.7","310.7","0.0","850.4","",""
"17","Purchase Tax","1.8","-3.9","1.6","1.1","0.3","","","","","","-0.6","1.4","0.0","0.9","",""
"18","Petroleum Excise","215.8","231.5","205.1","201.6","168.0","","","","","","652.4","369.6","0.0","1022.1","",""
"19","Income Tax","-","-","27.0","-","-","","","","","","27.0","-","-","27.0","",""
"20","Other","-","-","-","-","-","","","","","","0.0","-","-","-","",""
"21","3. Earmarked Collections (3)","109.2","30.2","10.9","0.6","11.6","27.1","15.3","26.3","32.8","31.0","150.4","39.3","74.4","295.1","126.0","234%"
"22","Property Tax","87.4","16.4","2.2","0.1","0.9","3.0","1.4","2.4","6.7","3.3","106.1","3.9","10.6","123.9","",""
"23","Transportation","12.5","12.1","6.7","0.2","9.6","18.9","10.3","15.8","15.5","14.1","31.4","28.7","41.5","115.7","",""
"24","other","9.3","1.7","1.9","0.3","1.2","5.2","3.7","8.1","10.6","13.6","12.9","6.7","22.4","55.5","",""
"25","4.  Tax Refunds (-)","34.7","51.5","59.1","12.0","13.5","29.8","14.4","19.1","42.6","13.6","145.3","55.3","76.0","290.3","340.0","85%"
"26","Fuel","30.0","50.0","25.0","12.0","10.0","14.0","10.0","10.0","18.0","10.0","105.0","36.0","38.0","189.0","",""
"27","Other (2)","4.7","1.5","34.1","0.0","3.5","15.8","4.4","9.1","24.6","3.6","40.3","19.3","38.0","101.3","",""
"28","B.  Nontax Revenues","112.3","137.0","86.6","20.0","39.3","55.0","75.4","83.7","209.7","167.6","335.9","114.2","368.9","986.6","553.0","178%"
"29","1.  Domestic Fees and Charges","111.7","96.5","86.5","20.0","39.0","54.9","75.3","83.7","209.7","114.7","294.7","113.9","368.7","891.9","",""
"30","Civil Registration Fees","0.5","0.7","0.2","0.0","0.1","0.3","1.0","0.6","0.9","0.0","1.5","0.4","2.4","4.3","",""
"31","Health Fees","8.8","7.9","6.5","4.1","4.3","9.1","6.0","8.4","8.9","8.5","23.2","17.6","23.2","72.6","",""
"32","Health Insurance","30.8","20.3","16.0","13.7","6.2","4.5","39.5","4.0","28.2","14.9","67.0","24.4","71.7","178.0","",""
"33","Transportation","12.5","12.1","6.7","0.2","9.5","18.9","10.3","15.8","15.5","14.1","31.4","28.6","41.5","115.6","",""
"34","Local Government","0.4","0.6","0.3","0.0","0.2","0.4","0.3","0.5","0.5","0.5","1.3","0.6","1.4","3.7","",""
"35","Ministry of Economy","1.3","1.3","0.8","0.1","0.4","1.1","0.6","0.9","1.3","1.0","3.4","1.6","2.8","8.8","",""
"36","Shari'a Courts Fees","0.5","0.4","0.2","0.0","0.2","0.5","0.3","0.5","0.6","0.5","1.1","0.7","1.4","3.7","",""
