"","X","X.1","X.2","X.3","Use.of.goods","X.4","X.5","X.6","X.7"
"1","","","Wages and","Social","","Interest","Transfer","Minor Capital","Development"
"2","","Total Expenditure","","","","","","",""
"3","","","salaries","contributions","","payments","Expenditure","Expenditure","Expenditure"
"4","","","","","and services","","","",""
"5","Governance Sector","","","","","","","",""
"6","President's Office","9,967","7,091.26","7 06.07","1 ,921.91","-","-","2 48.17","-"
"7","P.L.O. Institutions","92,908","15,324.70","4 59.46","1 6,120.26","-","5 6,855.18","1 0.17","4 ,138.38"
"8","Legislative Council","1,134","860.90","9 5.42","8 5.33","-","9 2.40","-","-"
"9","Ministers' Council","1,060","537.86","3 7.50","4 73.96","-","-","5 .88","5 .09"
"10","General Secretariat for the council of ministers","1,224","902.39","8 8.60","2 20.73","-","-","2 .36","9 .96"
"11","Office of the Deputy Prime Minister","90","27.85","0 .52","6 0.48","-","-","1 .01","-"
"12","State Audit & Administrative Control Bureau","1,037","752.61","8 5.63","1 98.29","-","-","-","-"
"13","General Personnel Office","5,761","4,776.26","5 69.35","4 01.02","-","-","2 .16","1 2.02"
"14","Ministry of Finance & Planning","15,663","5,977.69","5 31.68","2 ,398.67","-","6 ,088.59","8 8.39","5 77.51"
"15","Ministry of Jerusalem Affairs","12,125","828.00","1 3.27","3 51.34","-","3 ,928.95","3 0.88","6 ,972.13"
"16","Non Governmental Organization","1,654","336.11","2 6.89","(11.73)","-","1 ,302.64","-","-"
"17","Retirees Pension Allowances","184,222","22.92","-","-","-","1 84,199.16","-","-"
"18","Public Debt Interest Payments","10,110","-","-","-","1 0,109.98","-","-","-"
"19","General Expenditures","3,243","-","-","-","-","3 ,243.27","-","-"
"20","Financial Reserves","1,149","-","-","-","-","1 ,149.02","-","-"
"21","General Authority for crossings and borders","4,589","1,169.26","9 1.15","2 ,184.14","-","-","0 .39","1 ,143.71"
"22","Negotiations Affairs Department","234","109.76","1 1.60","1 13.00","-","-","-","-"
"23","Embassies","26,072","13,410.60","-","1 1,246.15","-","1 ,095.71","3 19.91","-"
"24","Central Election Committee","4,009","-","-","5 31.67","-","-","-","3 ,476.89"
"25","Ministry of Interior and National Security","303,618","219,565.98","2 2,292.81","4 4,769.10","-","-","5 93.16","1 6,397.07"
"26","Ministry of Justice","5,465","3,858.10","4 22.76","1 ,065.95","-","-","8 .82","1 09.80"
"27","High Judicial Council","10,119","6,416.20","6 93.31","1 ,933.26","-","-","0 .43","1 ,075.83"
"28","Ministry of Foreign Affairs","6,582","4,729.27","3 10.04","5 77.47","-","-","-","9 65.30"
"29","Supreme Judge Department","2,360","1,712.91","1 66.59","3 42.02","-","-","1 8.64","1 20.29"
"30","Supreme Council for Public Procurement Policies","138","47.70","4 .23","1 5.84","-","-","-","7 0.50"
"31","The Supreme Constitutional Court","478","358.11","1 1.75","1 00.57","-","-","7 .70","-"
"32","Total","705,012","288,816","2 6,619","8 5,099","1 0,110","2 57,955","1 ,338","3 5,074"
"33","Infrastructure Sector","","","","","","","",""
"34","Palestinian Water Authority","16,582","1,283.27","1 12.08","6 ,461.66","-","-","6 7.57","8 ,657.13"
"35","Ministry of Energy and Natural Resources","4,440","309.27","2 7.45","1 14.61","-","3 ,042.91","1 1.76","9 33.81"
"36","Ministry of Transportation","3,824","2,835.43","2 75.32","7 13.23","-","-","-","-"
"37","Ministry of Communications and Information Technology","3,080","2,162.61","1 92.50","3 88.96","-","-","-","3 36.18"
"38","Ministry of Public Works and Housing","6,561","2,905.88","2 96.12","8 77.06","-","-","1 8.50","2 ,463.69"
"39","Ministry of Local Government","9,332","1,804.84","1 80.58","4 10.99","-","1 ,245.10","2 .00","5 ,688.18"
"40","Environmental Quality Authority","1,184","863.30","9 8.00","1 67.90","-","-","-","5 4.89"
"41","Total","45,003","12,165","1 ,182","9 ,134","-","4 ,288","1 00","1 8,134"
"42","Economic Affairs","","","","","","","",""
"43","Palestinian Central Bureau of Statistics","2,392","1,057.17","1 18.03","1 74.46","-","-","-","1 ,042.38"
"44","Ministry of Tourism and Antiquities","4,957","1,252.96","1 07.70","3 21.53","-","-","5 .68","3 ,268.73"
"45","Land Authority","2,026","1,423.04","1 36.90","3 74.94","-","-","-","9 1.26"
"46","Ministry of National Economy","3,698","2,957.62","3 40.66","4 00.09","-","-","-","-"
"47","Industrial Zones Board","344","273.37","3 0.92","4 0.09","-","-","-","-"
"48","Specifications and Standards Office","883","599.33","5 9.70","1 72.31","-","-","1 3.87","3 8.20"
"49","General Authority for Investment Promotion","200","149.69","1 6.82","3 3.28","-","-","-","-"
"50","Ministry of Agriculture","11,615","5,747.55","5 16.83","3 ,284.68","-","-","-","2 ,065.55"
"51","Form of Land & Water  intercession","2,214","( 2,821.27)","4 6.99","1 53.35","-","-","-","4 ,835.37"
"52","Total","28,330","10,639","1 ,375","4 ,955","-","-","2 0","1 1,341"
