"","X","X.1","X.2","X.3","Use.of.goods","Interest","X.4","X.5","Minor.Capital","Development"
"1","","Total Expenditure","Wages and salaries","Social contributions","","",NA,"Transfer Expenditure","",""
"2","","","","","and services","payments",NA,"","Expenditure","Expenditure"
"3","Governance Sector","","","","","",NA,"","",""
"4","President's Office","96,699","7 0,255","7 ,143","1 8,391","-",NA,"-","5 87","3 23"
"5","P.L.O. Institutions","716,789","1 05,063","4 ,644","9 8,649","-",NA,"4 98,041","1 22","1 0,270"
"6","Legislative Council","11,579","8 ,811","9 82","8 62","-",NA,"9 24","-","-"
"7","Ministers' Council","12,259","5 ,260","3 83","4 ,163","-",NA,"-","3 21","2 ,131"
"8","General Secretariat for the council of ministers","11,422","8 ,598","8 99","1 ,881","-",NA,"-","3 5","1 0"
"9","Office of the Deputy Prime Minister","532","2 61","5","2 65","-",NA,"-","1","-"
"10","State Audit & Administrative Control Bureau","10,059","7 ,609","8 62","1 ,588","-",NA,"-","-","-"
"11","General Personnel Office","56,590","4 7,635","5 ,589","3 ,233","-",NA,"-","9 1","4 2"
"12","Ministry of Finance & Planning","136,242","6 0,166","5 ,390","1 3,733","-",NA,"4 8,134","1 ,182","7 ,638"
"13","Ministry of Jerusalem Affairs","47,614","8 ,198","1 43","6 51","-",NA,"2 5,158","4 3","1 3,421"
"14","Non Governmental Organization","24,441","2 ,855","2 80","4 17","-",NA,"2 0,889","-","-"
"15","Retirees Pension Allowances","1,749,280","2 13","(69)","-","-",NA,"1 ,749,136","-","-"
"16","Public Debt Interest Payments","157,384","-","-","-","1 57,384",NA,"-","-","-"
"17","General Expenditures","12,619","-","-","-","-",NA,"1 2,619","-","-"
"18","Financial Reserves","15,248","-","-","-","-",NA,"1 5,248","-","-"
"19","General Authority for crossings and borders","93,545","1 2,438","9 15","2 8,841","-",NA,"-","5 29","5 0,821"
"20","Negotiations Affairs Department","1,664","1 ,101","1 15","4 48","-",NA,"-","-","-"
"21","Embassies","150,958","7 5,320","-","6 5,343","-",NA,"9 ,004","1 ,290","-"
"22","Central Election Committee","15,188","-","-","1 0,083","-",NA,"-","-","5 ,105"
"23","Ministry of Interior and National Security","2,706,120","2 ,081,909","2 21,226","2 95,762","-",NA,"-","2 ,870","1 04,353"
"24","Ministry of Justice","49,132","3 7,925","4 ,206","6 ,371","-",NA,"-","1 4","6 16"
"25","High Judicial Council","84,271","6 3,142","6 ,862","1 2,366","-",NA,"-","1 26","1 ,775"
"26","Ministry of Foreign Affairs","56,689","4 8,192","3 ,298","2 ,973","-",NA,"-","2 7","2 ,199"
"27","Supreme Judge Department","22,364","1 7,628","1 ,698","2 ,569","-",NA,"-","1 9","4 49"
"28","Supreme Council for Public Procurement Policies","1,665","4 79","4 2","1 26","-",NA,"-","-","1 ,017"
"29","The Supreme Constitutional Court","4,430","3 ,649","1 14","6 50","-",NA,"-","1 5","-"
"30","Total","6,244,780","2 ,666,706","2 64,729","5 69,364","1 57,384",NA,"2 ,379,152","7 ,272","2 00,172"
"31","Infrastructure Sector","","","","","",NA,"","",""
"32","Palestinian Water Authority","105,766","1 3,055","1 ,140","2 1,649","-",NA,"-","2 20","6 9,702"
"33","Ministry of Energy and Natural Resources","64,874","3 ,147","2 72","9 79","-",NA,"3 9,605","1 2","2 0,860"
"34","Ministry of Transportation","37,320","2 8,171","2 ,778","5 ,445","-",NA,"-","-","9 25"
"35","Ministry of Communications and Information Technolog y","35,925","2 1,657","1 ,923","1 1,509","-",NA,"-","-","8 36"
"36","Ministry of Public Works and Housing","75,803","2 9,643","3 ,007","4 ,243","-",NA,"-","1 34","3 8,776"
"37","Ministry of Local Government","102,820","1 8,421","1 ,819","3 ,450","-",NA,"1 4,961","7","6 4,161"
"38","Environmental Quality Authority","12,402","8 ,736","1 ,025","1 ,000","-",NA,"-","3 1","1 ,609"
"39","Total","434,911","1 22,830","1 1,963","4 8,276","-",NA,"5 4,567","4 05","1 96,870"
"40","Economic Affairs","","","","","",NA,"","",""
"41","Palestinian Central Bureau of Statistics","24,444","1 0,651","1 ,187","4 ,081","-",NA,"-","-","8 ,525"
"42","Ministry of Tourism and Antiquities","26,796","1 2,570","1 ,082","2 ,708","-",NA,"-","3 9","1 0,397"
"43","Land Authority","19,345","1 4,972","1 ,391","2 ,541","-",NA,"-","1 1","4 30"
"44","Ministry of National Economy","36,341","2 9,952","3 ,450","2 ,940","-",NA,"-","-","-"
"45","Industrial Zones Board","3,595","2 ,773","3 18","3 48","-",NA,"-","2 1","1 36"
"46","Specifications and Standards Office","8,805","6 ,163","6 08","1 ,365","-",NA,"-","1 92","4 77"
"47","General Authority for Investment Promotion","2,065","1 ,536","1 74","3 41","-",NA,"-","1 4","-"
"48","Ministry of Agriculture","95,902","5 7,875","5 ,210","1 0,845","-",NA,"-","-","2 1,971"
"49","Form of Land & Water  intercession","21,082","9 ,260","4 69","9 84","-",NA,"-","0","1 0,370"
"50","Total","238,376","1 45,752","1 3,889","2 6,153","-",NA,"-","2 76","5 2,306"
