"","X","Total","Wages.and","Social","Use.of.goods","Interest","Transfer","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments","Expenditure","Expenditure","Expenditure"
"2","1. General public services","206,964","47,858","3,386","30,123","21,424","72,623","758","30,791"
"3","President's Office","10,173","7,001","707","2,358","‐","‐","107","‐"
"4","P.L.O. Institutions","73,402","9,799","459","10,329","‐","51,661","8","1,146"
"5","Legislative Council","1,224","939","107","85","‐","92","‐","‐"
"6","Ministers' Council","1,091","502","38","449","‐","‐","16","86"
"7","General Secretariat for the council of ministers","1,232","888","89","227","‐","‐","28","‐"
"8","Office of the Deputy Prime Minister","56","28","1","28","‐","‐","‐","‐"
"9","State Audit & Administrative Control Bureau","1,013","779","85","148","‐","‐","‐","‐"
"10","Ministry of Local Government","14,689","1,822","182","709","‐","3,193","2","8,782"
"11","Ministry of Finance & Planning","14,239","6,164","552","2,249","‐","3,223","383","1,668"
"12","Ministry of Foreign Affairs","6,758","4,998","323","460","‐","‐","3","973"
"13","Embassies","13,447","6,565","‐","5,572","‐","1,152","158","‐"
"14","Negotiations Affairs Department","183","111","12","60","‐","‐","‐","‐"
"15","General Personnel Office","5,942","4,858","575","450","‐","‐","42","17"
"16","Palestinian Central Bureau of Statistics","2,625","1,063","119","411","‐","‐","‐","1,033"
"17","Ministry of Jerusalem Affairs","6,286","827","14","74","‐","4,924","12","435"
"18","General Authority for crossings and borders","22,674","1,232","95","4,829","‐","‐","‐","16,517"
"19","Non Governmental Organization","3,474","275","28","50","‐","3,122","‐","‐"
"20","Central Election Committee","1,582","‐","‐","1,448","‐","‐","‐","134"
"21","General Expenditures","3,817","‐","‐","‐","‐","3,817","‐","‐"
"22","Public Debt Interest Payments","21,424","‐","‐","‐","21,424","‐","‐","‐"
"23","Financial Reserves","1,441","‐","‐","‐","‐","1,441","‐","‐"
"24","Leadership and mastery","191","5","1","185","‐","‐","‐","‐"
"25","2. Defense","0","‐","‐","‐","‐","‐","‐","‐"
"26","3. Public order and safety","310,047","221,905","23,519","53,776","0","0","984","9,864"
"27","Ministry of Interior and National Security","292,943","209,498","22,223","50,543","‐","‐","972","9,706"
"28","Ministry of Justice","5,432","3,886","429","1,022","‐","‐","3","93"
"29","Supreme Judge Department","2,365","1,724","167","474","‐","‐","‐","‐"
"30","High Judicial Council","8,694","6,395","685","1,613","‐","‐","1","‐"
"31","The Supreme Constitutional Court","482","355","11","108","‐","‐","8","‐"
"32","Supreme Council for Public Procurement Policies","131","48","4","15","‐","‐","‐","64"
"33","4. Economic affairs","51,969","18,970","1,826","6,437","0","17,308","3","7,425"
"34","Ministry of National Economy","3,704","2,960","346","397","‐","‐","‐","‐"
"35","Specifications and Standards Office","956","607","60","279","‐","‐","‐","10"
"36","Ministry of Agriculture","11,880","5,713","516","1,011","‐","‐","‐","4,640"
"37","Ministry of Energy and Natural Resources","19,211","374","27","131","‐","17,308","‐","1,371"
"38","Ministry of Transportation","4,935","2,828","276","1,042","‐","‐","‐","790"
"39","Ministry of Communications and Information Technology","5,057","2,169","188","2,700","‐","‐","‐","‐"
"40","Ministry of Tourism and Antiquities","2,218","1,245","108","356","‐","‐","‐","510"
"41","Ministry of Labor","3,419","2,647","257","408","‐","‐","3","104"
"42","General Authority for Investment Promotion","214","155","17","41","‐","‐","0","‐"
"43","Industrial Zones Board","373","272","31","70","‐","‐","‐","‐"
