"","X","Total","Wages.and","Social","Use.of.goods","Interest","X.1","Transfer","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments",NA,"Expenditure","Expenditure","Expenditure"
"2","5. Environmental protection","1,447","889","98","123","0",NA,"0","7","330"
"3","Environmental Quality Authority","1,447","889","98","123","‐",NA,"‐","7","330"
"4","6. Housing and community amenities","28,516","7,674","601","3,785","0",NA,"0","162","16,294"
"5","Ministry of Public Works and Housing","11,068","3,004","303","561","‐",NA,"‐","15","7,186"
"6","Land Authority","1,872","1,500","138","208","‐",NA,"‐","‐","27"
"7","Palestinian Water Authority","13,382","1,279","112","2,878","‐",NA,"‐","147","8,966"
"8","Form of Land & Water  intercession","2,194","1,892","47","138","‐",NA,"‐","‐","116"
"9","7. Health","173,715","59,600","5,180","87,952","0",NA,"0","13,156","7,827"
"10","Ministry of Health","173,715","59,600","5,180","87,952","‐",NA,"‐","13,156","7,827"
"11","8. Recreation, culture, and religion","40,502","19,048","1,930","17,352","0",NA,"0","41","2,130"
"12","Higher Council For Youth And Sports","4,804","2,114","214","2,466","‐",NA,"‐","‐","10"
"13","Ministry of Culture","2,032","920","102","782","‐",NA,"‐","4","224"
"14","Ministry of Information","607","465","48","94","‐",NA,"‐","‐","‐"
"15","Palestinian Broadcasting Corporation","18,533","4,987","453","13,067","‐",NA,"‐","26","‐"
"16","The Palestinian News Agency ‐ WAFA","1,336","941","109","275","‐",NA,"‐","11","‐"
"17","Al‐Hayat Al‐Jadida Press","2,404","361","23","124","‐",NA,"‐","‐","1,896"
"18","The Ministry of Awqaf and Religious Affairs","10,071","8,844","947","280","‐",NA,"‐","‐","‐"
"19","Dar Al Fatwa and Islamic Research","715","417","35","263","‐",NA,"‐","‐","‐"
"20","9. Education","251,241","193,381","19,994","16,871","0",NA,"2,466","0","18,528"
"21","Ministry of Education","240,289","187,012","19,345","16,302","‐",NA,"‐","‐","17,631"
"22","Ministry of Higher Education and Scientific Research","10,951","6,369","649","569","‐",NA,"2,466","‐","898"
"23","10. Social protection","258,593","4,515","409","755","0",NA,"252,334","12","567"
"24","Ministry of Social Affairs","71,798","4,150","447","604","‐",NA,"66,146","12","439"
"25","Ministry of Women's Affairs","649","338","32","151","‐",NA,"‐","‐","128"
"26","Retirees Pension Allowances","186,146","28","(69)","‐","‐",NA,"186,188","‐","‐"
"27","Totals","1,322,993","573,838","56,944","217,173","21,424",NA,"344,731","15,124","93,758"
