"","X","X.1","Wages.and","Social","Use.of.goods","Interest","Transfer","Minor.Capital","Development"
"1","","Total Expenditure","","","","","","",""
"2","","","salaries","contributions","and services","payments","Expenditure","Expenditure","Expenditure"
"3","Governance Sector","","","","","","","",""
"4","President's Office","10,173","7 ,001.23","7 06.87","2,357.85","‐","‐","1 06.74","‐"
"5","P.L.O. Institutions","73,402","9 ,799.17","4 59.42","1 0,328.66","‐","5 1,660.81","7.60","1 ,146.27"
"6","Legislative Council","1,224","939.44","1 07.17","8 5.33","‐","9 2.40","‐","‐"
"7","Ministers' Council","1,091","502.21","38.00","4 48.92","‐","‐","16.07","86.01"
"8","General Secretariat for the council of ministers","1,232","887.91","89.07","2 26.83","‐","‐","27.75","‐"
"9","Office of the Deputy Prime Minister","56","2 7.85","0.52","2 8.09","‐","‐","‐","‐"
"10","State Audit & Administrative Control Bureau","1,013","779.26","85.34","1 48.45","‐","‐","‐","‐"
"11","General Personnel Office","5,942","4 ,857.69","5 75.47","4 50.44","‐","‐","42.13","16.62"
"12","Ministry of Finance & Planning","14,239","6 ,163.88","5 51.72","2,249.32","‐","3 ,223.09","3 83.17","1 ,668.22"
"13","Ministry of Jerusalem Affairs","6,286","827.45","13.81","7 4.43","‐","4 ,923.53","11.92","4 35.15"
"14","Non Governmental Organization","3,474","275.12","27.80","4 9.83","‐","3 ,121.67","‐","‐"
"15","Retirees Pension Allowances","186,146","2 7.67","( 69.30)","‐","‐","186,187.83","‐","‐"
"16","Public Debt Interest Payments","21,424","‐","‐","‐","2 1,423.70","‐","‐","‐"
"17","General Expenditures","3,817","‐","‐","‐","‐","3 ,816.56","‐","‐"
"18","Financial Reserves","1,441","‐","‐","‐","‐","1 ,440.94","‐","‐"
"19","General Authority for crossings and borders","22,674","1 ,232.34","95.20","4,829.02","‐","‐","‐","16,517.47"
"20","Negotiations Affairs Department","183","111.03","11.96","6 0.41","‐","‐","‐","‐"
"21","Embassies","13,447","6 ,564.70","‐","5,571.82","‐","1 ,151.68","1 58.50","‐"
"22","Central Election Committee","1,582","‐","‐","1,448.33","‐","‐","‐","1 33.60"
"23","Ministry of Interior and National Security","292,943","209,498.39","22,223.02","5 0,542.87","‐","‐","9 72.13","9 ,706.32"
"24","Ministry of Justice","5,432","3 ,885.74","4 28.68","1,022.15","‐","‐","2.78","93.08"
"25","High Judicial Council","8,694","6 ,394.53","6 85.05","1,613.19","‐","‐","0.92","‐"
"26","Ministry of Foreign Affairs","6,758","4 ,998.46","3 23.04","4 60.50","‐","‐","2.60","9 73.42"
"27","Supreme Judge Department","2,365","1 ,723.58","1 66.72","4 74.49","‐","‐","‐","‐"
"28","Supreme Council for Public Procurement Policies","131","4 7.70","4.23","1 5.09","‐","‐","‐","64.39"
"29","The Supreme Constitutional Court","482","354.70","11.46","1 07.86","‐","‐","7.70","‐"
"30","Total","6 85,652","2 66,900","2 6,535","82,594","21,424","255,618","1,740","3 0,841"
"31","Infrastructure Sector","","","","","","","",""
"32","Palestinian Water Authority","13,382","1 ,278.52","1 11.78","2,878.13","‐","‐","1 47.27","8 ,966.48"
"33","Ministry of Energy and Natural Resources","19,211","374.22","27.45","1 31.19","‐","1 7,307.50","‐","1 ,371.06"
"34","Ministry of Transportation","4,935","2 ,827.85","2 75.53","1,042.46","‐","‐","‐","7 89.65"
"35","Ministry of Communications and Information Technolo","5,057","2 ,169.42","1 87.54","2,700.40","‐","‐","‐","‐"
"36","Ministry of Public Works and Housing","11,068","3 ,003.53","3 03.31","5 61.07","‐","‐","14.50","7 ,185.59"
"37","Ministry of Local Government","14,689","1 ,822.07","1 81.79","7 08.71","‐","3 ,192.77","2.00","8 ,781.73"
"38","Environmental Quality Authority","1,447","888.57","98.15","1 22.93","‐","‐","7.01","3 30.29"
"39","Total","6 9,790","1 2,364","1 ,186","8 ,145","‐","20,500","1 71","2 7,425"
"40","Economic Affairs","","","","","","","",""
"41","Palestinian Central Bureau of Statistics","2,625","1 ,062.95","1 18.68","4 10.52","‐","‐","‐","1 ,032.94"
"42","Ministry of Tourism and Antiquities","2,218","1 ,244.53","1 07.98","3 55.80","‐","‐","‐","5 10.10"
"43","Land Authority","1,872","1 ,499.79","1 38.02","2 07.51","‐","‐","‐","26.56"
"44","Ministry of National Economy","3,704","2 ,959.83","3 46.28","3 97.45","‐","‐","‐","‐"
"45","Industrial Zones Board","373","272.28","30.82","7 0.04","‐","‐","‐","‐"
"46","Specifications and Standards Office","956","606.51","60.44","2 79.29","‐","‐","‐","10.17"
"47","General Authority for Investment Promotion","214","155.45","17.45","4 1.30","‐","‐","0.16","‐"
"48","Ministry of Agriculture","11,880","5 ,712.69","5 16.18","1,010.98","‐","‐","‐","4 ,640.01"
"49","Form of Land & Water  intercession","2,194","1 ,892.22","47.41","1 38.26","‐","‐","‐","1 15.74"
"50","Total","2 6,036","15,406","1 ,383","2 ,911","‐","‐","0","6 ,336"
