"","Social.Affairs","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7"
"1","Ministry of Education","240,289","187,011.69","19,344.69","1 6,302.11","‐","‐","‐","17,630.61"
"2","Ministry of Higher Education and Scientific Research","10,951","6 ,369.16","6 49.17","5 69.19","‐","2 ,466.19","‐","8 97.78"
"3","Ministry of Health","173,715","5 9,599.64","5,179.80","8 7,951.61","‐","‐","1 3,156.23","7 ,827.46"
"4","Ministry of Women's Affairs","649","338.12","32.05","1 50.97","‐","‐","‐","1 27.80"
"5","Ministry of Social Affairs","71,798","4 ,149.52","4 46.75","6 03.60","‐","6 6,146.47","12.16","4 39.16"
"6","Ministry of Information","607","464.80","47.95","9 4.27","‐","‐","‐","‐"
"7","Palestinian Broadcasting Corporation","18,533","4 ,986.98","4 52.66","1 3,066.96","‐","‐","26.06","‐"
"8","The Palestinian News Agency ‐ WAFA","1,336","940.60","1 09.10","2 74.81","‐","‐","11.15","‐"
"9","Al‐Hayat Al‐Jadida Press","2,404","360.84","22.92","1 24.00","‐","‐","‐","1 ,896.43"
"10","Higher Council For Youth And Sports","4,804","2 ,113.63","2 14.08","2,466.45","‐","‐","‐","10.00"
"11","Ministry of Culture","2,032","919.97","1 02.14","7 82.21","‐","‐","4.00","2 23.84"
"12","Dar Al Fatwa and Islamic Research","715","416.92","34.66","2 63.44","‐","‐","‐","‐"
"13","The Ministry of Awqaf and Religious Affairs","10,071","8 ,843.86","9 46.95","2 80.25","‐","‐","‐","‐"
"14","Ministry of Labor","3,419","2 ,646.99","2 56.74","4 07.96","‐","‐","3.14","1 04.22"
"15","Leadership and mastery","191","5.22","0.53","1 85.40","‐","‐","‐","‐"
"16","Total","5 41,514","2 79,168","2 7,840","123,523","‐","68,613","13,213","2 9,157"
"17","Grand Total","1 ,322,993","5 73,838","5 6,944","217,173","21,424","344,731","15,124","9 3,758"
