"","Social.Affairs","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
"1","Ministry of Education","2,032,647","1,624,946","164,483","121,167","‐","‐","",3,"122,048"
"2","Ministry of Higher Education and Scientific Research","88,825","5 9,778","5 ,783","4 ,395","‐","1 2,706","‐",NA,"6 ,163"
"3","Ministry of Health","1,054,805","512,582","4 6,023","419,316","‐","‐","4 1,421",NA,"3 5,462"
"4","Ministry of Women's Affairs","5,471","3 ,031","294","1 ,595","‐","‐","‐",NA,"551"
"5","Ministry of Social Affairs","927,435","3 7,019","4 ,037","4 ,598","‐","878,440","35",NA,"3 ,306"
"6","Ministry of Information","5,361","4 ,248","434","678","‐","‐","‐",NA,"‐"
"7","Palestinian Broadcasting Corporation","80,283","4 1,585","4 ,027","3 4,421","‐","‐","250",NA,"‐"
"8","The Palestinian News Agency ‐ WAFA","12,038","8 ,665","1 ,000","1 ,508","‐","‐","17",NA,"8 48"
"9","Al‐Hayat Al‐Jadida Press","18,396","3 ,215","216","1 ,567","‐","‐","",2,"1 3,397"
"10","Higher Council For Youth And Sports","34,064","1 9,356","1 ,928","1 1,645","‐","‐","39",NA,"1 ,096"
"11","Ministry of Culture","13,425","8 ,324","925","2 ,840","‐","‐","",4,"1 ,332"
"12","Dar Al Fatwa and Islamic Research","4,519","3 ,413","260","846","‐","‐","‐",NA,"‐"
"13","The Ministry of Awqaf and Religious Affairs","90,588","7 9,423","8 ,385","2 ,708","‐","‐","72",NA,"‐"
"14","Ministry of Labor","29,788","2 3,824","2 ,342","3 ,133","‐","‐","",7,"4 83"
"15","Leadership and mastery","783","5","1","3 34","‐","‐","49",NA,"3 94"
"16","Total","4,398,428","2 ,429,414","240,138","610,751","‐","891,146","41,899",NA,"185,080"
"17","Grand Total","1 0,538,150","5 ,053,081","501,544","1 ,155,356","147,274","3 ,062,622","48,395",NA,"569,878"
