"","X","X.1","X.2"
"1","المجموع","مصادر التمويل","اسم المشروع"
"2","67,418,523.95","تمويل سلطة  (موازنة تطويرية  /) تمويل  خارجي (موازنة تطويرية) دول متعددة","إعادة تأهيل الأجهزة الأمنية"
"3","60,102,433.34","تمويل صندوق النقد العربي / تمويل صندوق الأقصى / تمويل سلطة  (موازنة تطويرية  /) تمويل",""
"4","المصرف العربي للتنمية الاقتصادية في افريقيا / تمويل الحكومة الهندية / تمويل الحكومة الالمانية  /","",""
"5","تمويل  /JFA تمويل سلطنة عمان","بناء وتجهيز وتاثيث غرف صفية في مناطق a+b",""
"6","11,611,750.20","تمويل قرض الحكومة الايطالية","مستشفى دورا و حلحول"
"7","9,963,221.81","تمويل وكالة التنمية الفرنسية )AFD(","مشروع ربط المياه بالطاقة في مجلس يامون/طوباس/ميثلو"
"8","7,924,130.38","تمويل وكالة التنمية الفرنسية  /)AFD( تمويل البنك الدولي","ادارة المياه العادمة في الضفة الغربية الخليل"
"9","6,697,935.50","تمويل سلطة  (موازنة تطويرية  /) تمويل الحكومة البلجيكية / تمويل  /KFW تمويل JFA","صيانة  وتوسعة المدارس المهنية والكليات"
"10","6,695,341.49","تمويل سلطة  (موازنة تطويرية )","مشروع تسوية اراضي المحافظات الشمالية"
"11","6,600,335.00","تمويل سلطة  (موازنة تطويرية )","إعادة تأهيل البنية التحتية للإدارة العامة للمعابر"
"12","6,094,396.00","تمويل سلطة  (موازنة تطويرية )","مبنى المطبعة الوطنية الجديدة"
"13","5,235,387.69","تمويل قرض الحكومة الايطالية","تعزيز قطاع الاسكان-قطاع غزة"
"14","5,219,308.97","تمويل  الاتحاد الأوروبي","تأثيث مركزي اصلاح وتأهيل نابلس وجنين"
"15","5,024,041.44","تمويل سلطة  (موازنة تطويرية  /) تمويل JFA","مباني مديريات قباطية وضواحي القدس وجنوب نابلس وطوب"
"16","4,900,472.79","تمويل البنك الدولي","إعادة تاهيل وتطوير شبكات التوزيع في قطاع غزة)GNRP("
"17","4,769,227.82","تمويل وكالة التنمية الفرنسية )AFD(","تأهيل شبكات المياه في بيت جالا -بيت ساحور- بيت لحم"
"18","4,640,354.49","تمويل  الاتحاد الأوروبي","المساعدة الطارئة للمزارعين النتضرين من الاحتلال"
"19","4,575,635.96","مساهمة المجتمع المحلي ( نمويل أهالي /) تمويل KFW","مشاريع بنية تحتية في عدة قرى-بنك التنمية الالماني"
"20","4,161,632.00","تمويل سلطة  (موازنة تطويرية )","منامات للموظفين في المعابر"
"21","3,718,340.73","تمويل الحكومة البلجيكية / تمويل JFA","صيانة الابنية المدرسية ومرافقها"
"22","3,160,402.19","تمويل البنك الاسلامي للتنمية -جدة","إعادة إنشاء طريق ذنابة - كفر اللبد - عنبتا"
"23","3,076,321.35","تمويل الحكومة الايطالية/ مشروع RING","RING"
"24","2,867,570.90","HSRSP","تعزيز صمود القطاع الصحي الفلسطينيHSRSP-"
"25","2,800,987.09","تمويل برنامج الأمم المتحدة الإنمائي  /)UNDP( تمويل اليونيسيف  /)UNICEIF( تمويل الحكومة",""
"26","الايطالية / تمويل البنك الدولي / تمويل  /UNFPA تمويل CFG مجموعة مانحين","المسوح والسجلات الادارية في المجالات السكانية والا",""
"27","2,782,567.70","تمويل وكالة التنمية الفرنسية )AFD(","برنامج التنمية الريفية في غور الاردن C"
"28","2,750,576.40","تمويل سلطة  (موازنة تطويرية )","تعزيز الاستدامة في الاداء والبنية التحتية والموثوق"
"29","2,639,910.13","تمويل JFA","بناء مدارس مهنية جديدة"
