"","�.�.�.�.�.ز�.�...�.س�.�..�.�.�.غ�.ي.�.�.","X","X.1","X.2"
"1","","كانون ثاني","",""
"2","الموازنة2020","","",""
"3","","1263.5","اجمالي صافي الایرادات",""
"4","","597.7","اجمالي الایرادات المحلیة",""
"5","","376.2","الایرادات الضریبیة",""
"6","","112.3","الایرادات غیر الضریبیة",""
"7","","109.2","تحصیلات مخصصة  *(1)",""
"8","","700.5","اجمالي ایرادات المقاصة",""
"9","","34.7","الارجاعات الضریبیة  (-)",""
"10","","30.0","الوقود",""
"11","","4.7","أخرى  (2)",""
"12","","1009.0","اجمالي النفقات و صافي الاقراض",""
"13","","533.2","النفقات و الأجور",""
"14","","55.2","مساھمات اجتماعیة  ) الحكومة(",""
"15","","25.8","استخدام السلع والخدمات",""
"16","","160.9","نفقات تحویلیة",""
"17","","0.0","نفقات رأسمالیة",""
"18","","18.1","الفائدة",""
"19","","18.1","محلي",""
"20","","0.0","خارجي",""
"21","","106.7","(3)صافي الاقراض",""
"22","","109.2","مدفوعات مخصصة (1)",""
"23","","87.4","ضریبة الاملاك",""
"24","","12.5","النقل على الطرق",""
"25","","9.3","أخرى",""
"26","","254.4","الرصید الحالي",""
"27","","6.3","النفقات التطویریة",""
"28","","248.1","الرصید",""
"29","","-248.1","مصادر التمویل",""
"30","","0.0","الدعم الخارجي للموازنة",""
"31","","2.1","التمویل التطویري",""
"32","","-389.2","صافي التمویل من البنوك المحلیة (4)",""
"33","","225.5","متأخرات النفقات ) الصافي التراكمي  (5)(",""
"34","","41.9","(6)تعدیل ایرادات المقاصة",""
"35","","2.9","الارجاعات الضریبیة ) متأخرات(",""
"36","","-46.9","متأخرات السلع والخدمات والتطویري  (7)",""
"37","","-0.7","الرصید المتبقي",""
"38","","","سعر الدولار، الموازنة",""
"39","","3.46","سعر الدولار، فعلي )معدل شھري(",""
"40","التحصیلات والمدفوعات المخصصة ھي ضرائب وإیرادات تخص ھیئات الحكم المحلیة %90، من ضریبة الاملاك،و%50 من ضرائب النقل والمواصلات.","","","(1)"
"41","الارجاعات الضریبیة الأخرى ھي ارجاعات ضریبة القیمة المضافة، وارجاعات المقاصة.","","","(2)"
"42","بناءا على التعمیم الصادر من وزارة المالیة، تم اجراء تقاص لتخفیض مدیونیة الھیئات المحلیة وشركة الكھرباء.","","","(3)"
"43","ھي صافي التغیر في الإیداعات الحكومیة في البنوك والاقتراض من النظام البنكي.","","","(4)"
"44","","في بنود مجموع النفقات و صافي الاقراض و النفقات التطویریة.","","(5)"
