"","�.س�.�..�.�.�.غ�.ي.�.�.","�.�.�.�.�.ز�.�.","X","X.1"
"1","",NA,"كانون ثاني",""
"2","الموازنة",2020,"",""
"3","",NA,"1263.5","اجمالي صافي الایرادات  (1)"
"4","",NA,"1151.2","أ. صافي الضرائب"
"5","",NA,"376.2","ایرادات الضرائب المحلیة1"
"6","",NA,"115.1","ضریبة الدخل"
"7","",NA,"158.7","ضریبة القیمة المضافة"
"8","",NA,"73.5","الجمارك"
"9","",NA,"0.9","مكوس المشروبات"
"10","",NA,"18.4","مكوس السجائر"
"11","",NA,"9.7","ضریبة الأملاك"
"12","",NA,"700.5","ایرادات المقاصة  *2"
"13","",NA,"314.3","الجمارك"
"14","",NA,"168.6","ضریبة القیمة المضافة"
"15","",NA,"1.8","ضریبة الشراء"
"16","",NA,"215.8","ضریبة المحروقات"
"17","",NA,"-","ضریبة الدخل"
"18","",NA,"-","أخرى"
"19","",NA,"109.2","تحصیلات مخصصة  (3)3"
"20","",NA,"87.4","ضریبة الأملاك"
"21","",NA,"12.5","اتنقل والمواصلات"
"22","",NA,"9.3","أخرى"
"23","",NA,"34.7","الارجاعات الضریبیة (-)4"
"24","",NA,"30.0","وقود"
"25","",NA,"4.7","أخرى  (2)"
"26","",NA,"112.3","ب. الایرادات غیر الضریبیة"
"27","",NA,"111.7","ایرادات الرسوم غیر الضریبیة المحلیة.1"
"28","",NA,"0.5","ضرائب التسجیل المدني"
"29","",NA,"8.8","رسوم خدمات صحیة"
"30","",NA,"30.8","رسوم تأمین صحي"
"31","",NA,"12.5","رسوم المواصلات"
"32","",NA,"0.4","رسوم الحكم المحلي"
"33","",NA,"1.3","رسوم وزارة الاقتصاد"
"34","",NA,"0.5","رسوم المحاكم الشرعیة"
"35","",NA,"6.1","رسوم سلطة الأراضي"
"36","",NA,"0.0","وزارة الاسكان"
"37","",NA,"0.4","رسوم وزارة الزراعة"
"38","",NA,"0.3","رسوم السیاحة"
"39","",NA,"5.9","رسوم البرید والاتصالات"
"40","",NA,"1.6","رسوم التربیة والتعلیم"
"41","",NA,"5.2","رسوم مجلس القضاء الأعلى"
"42","",NA,"0.1","رسوم خارجیة"
"43","",NA,"0.3","رخص مزاولة المھنة"
"44","",NA,"37.0","أخرى"
"45","",NA,"0.0","رسوم تدریب"
"46","",NA,"0.5","عوائد استثماریة.3"
